,Unnamed: 0,block_id,geo_point_coords,CLUE,block_area,total_energy_consumption,total_jobs,business_establishments,commercial_area,energy_consumption_per_sqm,plot_ratio,residential_area,business/residence_with_largest_floor_area,business/residence_with_second_largest_floor_area,detailed_business_info
75,75,431,"-37.80825794959794, 144.9501687855507",West Melbourne (Residential),29067.874769977272,3081.701473,147,17,12868.0,0.17676419965576592,0.5996490865930436,4562.0,business,residence,"business: 9821, residence: 4562, public_service: 2077, retail: 970"
76,76,98,"-37.80766757401238, 144.96935717334853",Melbourne (CBD),5229.469933839822,85.10843714,0,1,0.0,,,0.0,,,
77,77,437,"-37.80758158102925, 144.95402363498138",West Melbourne (Residential),6174.025376123641,759.6767491,62,6,1442.0,0.18639489194499018,0.659540006478782,2630.0,residence,business,"residence: 2630, business: 1070, public_service: 372"
78,78,404,"-37.80510960555838, 144.94456186737855",West Melbourne (Residential),7139.202690179707,299.2631607,23,4,453.0,0.05262231608588525,0.7959097912872951,5229.0,residence,business,"residence: 5229, business: 453"
79,79,412,"-37.80718955097878, 144.94336644872564",West Melbourne (Residential),7637.667006743591,1326.175382,22,3,0.0,,,0.0,,,
80,80,107,"-37.807363079153276, 144.9664020126462",Melbourne (CBD),5469.205299962591,1184.146809,39,3,2429.0,0.4874433923425278,0.4441396964710185,0.0,public_service,retail,public_service: 2429
81,81,96,"-37.807254497290245, 144.96552589650233",Melbourne (CBD),72610.51981813564,11067.14399,1689,42,151179.0,0.07320461175163218,2.082068585594271,0.0,education,public_service,"education: 77901, public_service: 65118, business: 7170, retail: 597, leisure: 393"
82,82,426,"-37.80739358699979, 144.949333686818",West Melbourne (Residential),29112.172070637956,5832.234355,197,11,5060.0,0.5320197044334976,0.3765457543281121,5902.0,residence,public_service,"residence: 5902, public_service: 3057, business: 2003"
83,83,115,"-37.8072809964218, 144.96133270543257",Melbourne (CBD),31370.604105052247,25131.70434,2002,39,130123.0,0.07567116721066641,10.586802677717564,201985.0,residence,public_service,"residence: 201985, public_service: 68115, business: 28562, leisure: 22901, retail: 10545"
84,84,1004,"-37.8060309998121, 144.90912637512943",West Melbourne (Industrial),234906.0866914813,3539.164885,316,8,111912.0,0.03162306097648152,0.4764118413322776,0.0,public_service,retail,public_service: 111912
85,85,421,"-37.80605370601265, 144.94770393920587",West Melbourne (Residential),2036.4380553018416,0.0,0,1,0.0,,,0.0,,,
