Geo Point,Suburb,Latitude,Longitude,Geo Shape,total_2011,p_com_2011,p_res_2026,p_com_2026,total_2026,p_com_2021,property_id,p_res_2011,total_2016,total_2021,p_res_2021,floor_area,p_res_2016,p_com_2016
"-37.80795796186735, 144.94476074991525",Docklands,-37.807958,144.944761,"{""coordinates"": [[[[144.9447846358917, -37.80782390267887], [144.94488749300993, -37.80786767364189], [144.94473490014747, -37.808092890281266], [144.94463481669146, -37.80804874584806], [144.9447846358917, -37.80782390267887]]]], ""type"": ""MultiPolygon""}",5.79081461369,0.0,32.4565230696,0.0,32.4565230696,0.0,100229.0,5.79081461369,24.9822891032,28.5384380606,28.5384380606,155.2,24.9822891032,0.0
"-37.80815237160242, 144.94514280041696",Docklands,-37.808152,144.945143,"{""coordinates"": [[[[144.94525187392225, -37.808102321531344], [144.94509499894053, -37.808251720234], [144.9450429567626, -37.808228766615485], [144.94515409152075, -37.80805915490988], [144.94525187392225, -37.808102321531344]]]], ""type"": ""MultiPolygon""}",10.1995899988,0.0,57.1669790355,0.0,57.1669790355,0.0,100236.0,10.1995899988,44.0023102401,50.2658983778,50.2658983778,273.36,44.0023102401,0.0
"-37.809187430056255, 144.94684268980288",Docklands,-37.809187,144.946843,"{""coordinates"": [[[[144.94679986069406, -37.80928368587549], [144.94670766874148, -37.80934282377134], [144.94662430032815, -37.80926492881516], [144.94696747133133, -37.809032362735614], [144.94706065417222, -37.80911639343355], [144.94700821779705, -37.809150030246954], [144.94695350323133, -37.80918512867159], [144.94688746041507, -37.80922749217639], [144.94684339632252, -37.80925575880435], [144.94679986069406, -37.80928368587549]]]], ""type"": ""MultiPolygon""}",112.562227122,112.56222,0.0,124.699076,124.699076,120.863565,100239.0,0.0,116.89954,120.863565,0.0,0.0,0.0,116.89954
"-37.81764670434743, 144.9796962044674",East Melbourne,-37.817647,144.979696,"{""coordinates"": [[[[144.97990332913866, -37.81771507646407], [144.97947387140582, -37.81766827845096], [144.9794893892978, -37.81757824673892], [144.97991857771646, -37.81762523742763], [144.97990332913866, -37.81771507646407]]]], ""type"": ""MultiPolygon""}",9.47211e-06,0.0,0.0,0.0,0.0,0.0,100251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"-37.81713022681991, 144.97978539755832",East Melbourne,-37.81713,144.979785,"{""coordinates"": [[[[144.97999456042078, -37.81717756252058], [144.9795667164053, -37.81712960390859], [144.97957471069918, -37.81708322229023], [144.98000260328482, -37.8171301813964], [144.97999456042078, -37.81717756252058]]]], ""type"": ""MultiPolygon""}",1.24764675531,0.0,6.66357627941,0.0,6.66357627941,0.0,100257.0,1.24764675531,5.16297083089,5.81600731389,5.81600731389,113.0,5.16297083089,0.0
"-37.817018439281696, 144.97980456515472",East Melbourne,-37.817018,144.979805,"{""coordinates"": [[[[144.9800100319255, -37.81708641246861], [144.9795824041269, -37.8170385837931], [144.97959745078282, -37.81695128354975], [144.98002518826615, -37.8169971125313], [144.9800100319255, -37.81708641246861]]]], ""type"": ""MultiPolygon""}",2.23250079431,0.0,11.923673661,0.0,11.923673661,0.0,100259.0,2.23250079431,9.23851948678,10.4070502555,10.4070502555,202.2,9.23851948678,0.0
"-37.832136267181795, 144.9866919851461",Richmond,-37.832136,144.986692,"{""coordinates"": [[[[144.98685643378872, -37.8320924125968], [144.98683052451128, -37.832218015340466], [144.9865266436234, -37.832178533368854], [144.9865519922387, -37.83205580937985], [144.98685643378872, -37.8320924125968]]]], ""type"": ""MultiPolygon""}",2.29738608242,0.0,14.8884247213,0.0,14.8884247213,0.0,100265.0,2.29738608242,11.3378529419,12.9290237185,12.9290237185,178.8,11.3378529419,0.0
"-37.83153098662877, 144.98727079751566",South Yarra,-37.831531,144.987271,"{""coordinates"": [[[[144.9871269505424, -37.831465470778205], [144.98743390268064, -37.83150301658002], [144.98741478187213, -37.83159640219813], [144.98710780709595, -37.831559090261585], [144.9871269505424, -37.831465470778205]]]], ""type"": ""MultiPolygon""}",2.08795010298,0.0,13.5311466287,0.0,13.5311466287,0.0,100277.0,2.08795010298,10.3042567285,11.7503711088,11.7503711088,162.5,10.3042567285,0.0
"-37.83182306706189, 144.98721109300766",South Yarra,-37.831823,144.987211,"{""coordinates"": [[[[144.98706461820413, -37.83177028969847], [144.9873712212588, -37.831809144524556], [144.98735756474682, -37.83187584146637], [144.98705097710567, -37.83183699497615], [144.98706461820413, -37.83177028969847]]]], ""type"": ""MultiPolygon""}",1.60611886195,0.0,10.4085743298,0.0,10.4085743298,0.0,100281.0,1.60611886195,7.92635132963,9.03874700678,9.03874700678,125.0,7.92635132963,0.0
"-37.79601564196823, 144.93299566042114",West Melbourne,-37.796016,144.932996,"{""coordinates"": [[[[144.93283133880226, -37.79597300655265], [144.9331688334428, -37.79601200419503], [144.93316142239678, -37.79605718065219], [144.9331273795656, -37.79605392832028], [144.93289251433214, -37.796028341856605], [144.93283957049962, -37.796020126542174], [144.932823245624, -37.79601828365948], [144.93283133880226, -37.79597300655265]]]], ""type"": ""MultiPolygon""}",2.81568485237,0.0,16.551184367,0.0,16.551184367,0.0,100298.0,2.81568485237,12.5807538802,14.4379203021,14.4379203021,106.1,12.5807538802,0.0
