,date_new,Public Holiday?,Min,Max,Daily global solar exposure (MJ/m*m),Rainfall amount (millimetres),SouthernCrossCount,VictoriaPointCount,FlindersStSparkLaneCount,CollinsPlaceNorth,BourkeStMallSouth
138,2015-05-19,0,9.9,16.2,3.2,0.0,5033.0,16358.0,3442.0,10707.0,19003.0
139,2015-05-20,0,13.6,18.1,6.0,2.4,5318.0,16129.0,3215.0,10818.0,21489.0
140,2015-05-21,0,10.3,13.6,3.5,6.2,5227.0,16267.0,3135.0,10793.0,22291.0
141,2015-05-22,0,9.1,14.1,6.7,0.4,6224.0,16355.0,3681.0,10380.0,28948.0
142,2015-05-23,0,10.4,13.3,7.7,0.0,2219.0,2420.0,4079.0,2348.0,28611.0
143,2015-05-24,0,6.0,15.6,8.6,0.0,1628.0,1627.0,2712.0,1434.0,21125.0
144,2015-05-25,0,7.4,17.1,8.1,0.0,5140.0,15563.0,2922.0,10351.0,20431.0
145,2015-05-26,0,5.4,15.6,6.8,0.0,5521.0,16422.0,3090.0,10896.0,19041.0
146,2015-05-27,0,7.9,18.7,7.4,0.0,5214.0,16195.0,3222.0,10576.0,21156.0
147,2015-05-28,0,13.1,19.7,8.4,0.0,5610.0,16560.0,3178.0,11160.0,23408.0
148,2015-05-29,0,9.5,15.8,6.6,0.0,5719.0,16228.0,3480.0,10652.0,28296.0
149,2015-05-30,0,11.0,17.3,8.0,0.0,1822.0,2224.0,3922.0,2872.0,26747.0
150,2015-05-31,0,12.3,16.8,4.9,0.0,1014.0,1094.0,2121.0,1524.0,18764.0
151,2015-06-01,0,5.2,12.2,8.1,8.2,4790.0,15798.0,2763.0,9956.0,19708.0
152,2015-06-02,0,7.1,11.4,4.6,4.2,5140.0,16327.0,2725.0,10690.0,19824.0
153,2015-06-03,0,8.1,13.6,8.2,0.8,5243.0,16187.0,2953.0,10625.0,21566.0
154,2015-06-04,0,4.4,11.3,5.5,0.0,5207.0,16021.0,2597.0,10364.0,20739.0
155,2015-06-05,0,7.0,15.0,7.0,4.2,5371.0,15214.0,3462.0,9960.0,29269.0
156,2015-06-06,0,9.2,16.6,6.4,0.2,2129.0,2313.0,3776.0,2731.0,29176.0
157,2015-06-07,0,11.2,14.5,6.9,0.0,1687.0,1637.0,2906.0,2083.0,25299.0
158,2015-06-08,1,11.1,18.5,8.2,0.0,1132.0,1530.0,2598.0,1400.0,20704.0
159,2015-06-09,0,10.3,13.5,8.6,4.0,5097.0,15457.0,2870.0,10289.0,19919.0
160,2015-06-10,0,7.5,13.4,7.1,0.0,5089.0,16182.0,3107.0,10698.0,20829.0
161,2015-06-11,0,5.7,14.0,8.3,1.332207488,5387.0,16552.0,3286.0,10917.0,22753.0
162,2015-06-12,0,5.2,13.1,6.9,0.0,5515.0,15700.0,3395.0,10304.0,27730.0
163,2015-06-13,0,6.0,18.2,8.0,0.0,2036.0,1579.0,2725.0,2270.0,26152.0
164,2015-06-14,0,5.8,17.4,8.0,0.0,1493.0,1362.0,2192.0,1456.0,19864.0
165,2015-06-15,0,7.1,16.9,6.6,0.0,5203.0,16325.0,3148.0,10583.0,20490.0
166,2015-06-16,0,9.5,16.1,3.3,5.0,5172.0,16540.0,2948.0,10882.0,20721.0
167,2015-06-17,0,11.7,13.8,4.7,0.0,5483.0,17029.0,6656.0,10801.0,25220.0
168,2015-06-18,0,10.7,12.7,4.2,1.0,5417.0,16246.0,3511.0,10803.0,25219.0
169,2015-06-19,0,7.0,12.4,7.9,0.2,5402.0,16431.0,4451.0,10445.0,29192.0
170,2015-06-20,0,4.1,11.6,7.1,0.0,1727.0,2114.0,3429.0,2341.0,26932.0
171,2015-06-21,0,2.2,12.9,8.6,0.0,1061.0,1380.0,2401.0,1906.0,20975.0
172,2015-06-22,0,3.6,14.1,6.2,0.0,5244.0,16288.0,3046.0,9898.0,20540.0
173,2015-06-23,0,9.6,17.6,5.8,0.0,5318.0,16855.0,3336.0,10728.0,21579.0
174,2015-06-24,0,12.2,16.0,7.7,0.0,5127.0,17001.0,3402.0,10868.0,23243.0
175,2015-06-25,0,9.6,14.0,6.3,0.0,5342.0,16734.0,3730.0,11127.0,25103.0
176,2015-06-26,0,10.5,16.9,7.1,0.0,5704.0,16457.0,3665.0,10935.0,28292.0
177,2015-06-27,0,8.0,14.1,5.0,0.0,1795.0,2278.0,3432.0,3051.0,26589.0
178,2015-06-28,0,9.6,14.5,4.1,0.0,1560.0,1623.0,2191.0,1433.0,22157.0
179,2015-06-29,0,6.9,12.3,5.6,0.0,5082.0,16231.0,2929.0,10353.0,24733.0
180,2015-06-30,0,5.0,14.2,7.9,0.0,5710.0,16870.0,3311.0,10628.0,25336.0
