Asset_Type,Equipment_ID,Date_Install,Longitude,Latitude,STREET_1,STREET_2,Suburb,RMS_Region
PED ,2905,30-Apr-93,150.993230246,-33.7145920173,GILBERT RD,NEW ENGLAND WAY,CASTLE HILL,Sydney
PED ,2907,23-Mar-94,151.197368449,-33.7966078965,PENSHURST ST,CLANWILLIAM ST (N-),NORTH WILLOUGHBY,Sydney
PED ,2908,27-Jan-94,151.347091216,-33.3952170351,PACIFIC HWY,BERRYS HEAD RD (N-),NARARA,Hunter
VEH ,2909,20-Nov-02,151.105728725,-34.0299197291,PORT HACKING RD,THE BOULEVARDE,MIRANDA,Sydney
VEH ,2910,28-Jan-94,150.891958754,-33.8932971676,CABRAMATTA RD,TARLINGTON PDE,BONNYRIGG,Sydney
PED ,2911,30-May-94,151.155389442,-33.8519466236,VICTORIA RD,LYONS RD (SE-),DRUMMOYNE,Sydney
PED ,2912,02-Aug-94,151.203807856,-33.9224797375,GARDENERS RD,PRIMROSE AV (W-),ROSEBERY,Sydney
PED ,2914,24-Feb-99,151.341612311,-33.4187612457,RACECOURSE RD,GOSFORD HIGH (@),GOSFORD,Hunter
PED ,2916,06-Dec-95,151.208169076,-33.8851281872,ELIZABETH ST,RANDLE ST (S-),SURRY HILLS,Sydney
PED ,2917,21-Mar-95,151.111617511,-33.960864105,CROYDON RD,CROSBY AV,HURSTVILLE,Sydney
PED ,2918,15-Jun-94,150.591959337,-34.588591482,ILLAWARRA HWY,CAALONG ST (E-),ROBERTSON,Southern
