node_id,longitude,latitude,geometry
11738703971,145.0094942,-37.6184982,POINT (145.0094942 -37.6184982)
11738703972,145.0105201,-37.6188706,POINT (145.0105201 -37.6188706)
11738703977,145.0092374,-37.6201972,POINT (145.0092374 -37.6201972)
11738703979,145.0101153,-37.6192217,POINT (145.0101153 -37.6192217)
11738703986,145.0101712,-37.6152417,POINT (145.0101712 -37.6152417)
11738703987,145.0106236,-37.615295,POINT (145.0106236 -37.615295)
11738703988,145.0101544,-37.615455,POINT (145.0101544 -37.615455)
11738703989,145.0095126,-37.6153824,POINT (145.0095126 -37.6153824)
11738703990,145.0101057,-37.6157232,POINT (145.0101057 -37.6157232)
11738703991,145.0105313,-37.6157766,POINT (145.0105313 -37.6157766)
11738703992,145.0101766,-37.6162722,POINT (145.0101766 -37.6162722)
11738704004,145.0101276,-37.6165655,POINT (145.0101276 -37.6165655)
11738704005,145.0095695,-37.6165059,POINT (145.0095695 -37.6165059)
11738704018,145.009954,-37.6176782,POINT (145.009954 -37.6176782)
11739982703,144.9300189,-37.5978838,POINT (144.9300189 -37.5978838)
11739982715,144.910756,-37.5942981,POINT (144.910756 -37.5942981)
11739982718,144.9102653,-37.5943361,POINT (144.9102653 -37.5943361)
11739982722,144.909977,-37.594446,POINT (144.909977 -37.594446)
11739982728,144.9103928,-37.593576,POINT (144.9103928 -37.593576)
11739982731,144.9105377,-37.594019,POINT (144.9105377 -37.594019)
11745248575,144.9970172,-37.6124027,POINT (144.9970172 -37.6124027)
11747179874,145.0198956,-37.5809613,POINT (145.0198956 -37.5809613)
11747179877,145.0207775,-37.5808358,POINT (145.0207775 -37.5808358)
11747200876,144.9952526,-37.5516239,POINT (144.9952526 -37.5516239)
11747200878,144.9963265,-37.5495341,POINT (144.9963265 -37.5495341)
11747200879,144.995976,-37.5517386,POINT (144.995976 -37.5517386)
11747200880,144.9971005,-37.5496112,POINT (144.9971005 -37.5496112)
11747200881,144.9967532,-37.551802,POINT (144.9967532 -37.551802)
11747200882,144.995566,-37.5497532,POINT (144.995566 -37.5497532)
11747388814,145.0613493,-37.6546267,POINT (145.0613493 -37.6546267)
11747389032,145.20084,-37.6357962,POINT (145.20084 -37.6357962)
11747389033,145.2009699,-37.6356949,POINT (145.2009699 -37.6356949)
11747557716,145.1368005,-37.6850351,POINT (145.1368005 -37.6850351)
11747557717,145.1368786,-37.6859794,POINT (145.1368786 -37.6859794)
11749410459,145.0958524,-37.7654741,POINT (145.0958524 -37.7654741)
11749413728,145.0981662,-37.7662384,POINT (145.0981662 -37.7662384)
11749413731,145.0978773,-37.7660918,POINT (145.0978773 -37.7660918)
11749413732,145.0983147,-37.7660144,POINT (145.0983147 -37.7660144)
11749413733,145.0984359,-37.7662646,POINT (145.0984359 -37.7662646)
11749413734,145.0982164,-37.7662235,POINT (145.0982164 -37.7662235)
11749781654,145.0822552,-37.6294957,POINT (145.0822552 -37.6294957)
11749797307,145.0960109,-37.6521207,POINT (145.0960109 -37.6521207)
11749797308,145.0962335,-37.6521375,POINT (145.0962335 -37.6521375)
11749797309,145.0962566,-37.6520133,POINT (145.0962566 -37.6520133)
11749797310,145.0960443,-37.651974,POINT (145.0960443 -37.651974)
11749865740,145.1129032,-37.6892219,POINT (145.1129032 -37.6892219)
11749865741,145.1134109,-37.689499,POINT (145.1134109 -37.689499)
