name,operator,suburb,longitude,latitude
Fire Station No. 94,Fire Rescue Victoria,Mornington,145.04247362745065,-38.230894750000004
Hurstbridge Fire Brigade,Country Fire Authority,,145.1999279645645,-37.635690499999995
Fire Station No. 93,Fire Rescue Victoria,Pakenham,145.4529607282295,-38.06198865
Fire Station No. 1,Fire Rescue Victoria,East Melbourne,144.97539567030572,-37.808898549999995
Fire Station No. 31,Fire Rescue Victoria,Glen Waverley,145.1645264945447,-37.9034919
Fire Station No. 12,Fire Rescue Victoria,Preston,144.9950101804938,-37.744620350000005
Fire Station No. 38,Melbourne Fire Brigade,Southbank,144.96027984312153,-37.8270924
Kangaroo Ground CFA,,,145.21950564800684,-37.6844663
Dromana CFA,,,144.97178300000002,-38.32968435
Fire Station No. 88,Fire Rescue Victoria,Hallam,145.27427894419435,-38.0041546
Fire Station No. 10,Fire Rescue Victoria,Richmond,145.00054384598212,-37.81248355
Montrose CFA,Country Fire Authority,,145.34010783218162,-37.8103534
The Basin CFA,,The Basin,145.31502460165058,-37.8568323
Fire Station No. 39,Fire Rescue Victoria,,144.93294185702194,-37.833078099999994
Fire Station No. 48,Fire Rescue Victoria,Taylors Lakes,144.7750798819572,-37.6954949
Eltham City Fire Station,Fire Rescue Victoria,Eltham,145.14423155585988,-37.721939649999996
Melbourne Airport Fire Station,,,144.83400194768876,-37.66647435
Kalkallo CFA,Country Fire Authority,,144.95100860349487,-37.540252800000005
Nar Nar Goon CFA,Country Fire Authority,,145.57084027628355,-38.0818752
Fire Station No. 7,Fire Rescue Victoria,Thomastown,144.99929937145038,-37.6931259
Hampton Park Satellite Fire Station (Lynbrook),Country Fire Authority,Lynbrook,145.24834140000002,-38.04011185
Ringwood Fire Station,Fire Rescue Victoria,Ringwood,145.23879652877486,-37.81053455
Fire Station No. 85,Fire Rescue Victoria,Boronia,145.26531168072097,-37.8602996
Bayswater CFA Fire Station,Country Fire Authority,Bayswater,145.2706040106192,-37.84015345
Noble Park Fire Brigade,,,145.174521234891,-37.96771495
,,,145.16926435064323,-38.22338310000001
Fire Station No. 20,Fire Rescue Victoria,Box Hill,145.12878562882184,-37.81916955
Croydon Fire Station,Fire Rescue Victoria,Croydon,145.28951651781475,-37.7991974
Bayles CFA,,,145.56948513149464,-38.1781213
Menzies Creek CFA station,,,145.40778922282328,-37.9210482
Fire Station No. 86,Fire Rescue Victoria,Rowville,145.24840809455085,-37.92627435
,,Rowville,145.24836456238506,-37.92632025
Fire Station No. 52,Fire Rescue Victoria,Westmeadows,144.88230582159923,-37.684563600000004
Warburton Fire Brigade CFA,Country Fire Authority,Warburton,145.6991734537024,-37.75311725
Wonga Park CFA Fire Station,Country Fire Authority,Wonga Park,145.26918244511978,-37.7407735
Fire Station No. 15,Fire Rescue Victoria,,145.049895001871,-37.75297945
CFA Pakenham,,,145.4830887571179,-38.07645185
Fire Station No. 50,Fire Rescue Victoria,Moonee Ponds,144.9166214077364,-37.7705546
Fire Station No. 43,Fire Rescue Victoria,Deer Park,144.77875508535055,-37.77033845
Yarrambat CFA,Country Fire Authority,Yarrambat,145.13686409657,-37.6397208
Mount Eliza CFA,,Mount Eliza,145.0925258985426,-38.18711535
St Andrews Fire Station,Country Fire Authority,,145.27572475541302,-37.59888085
Fire Station No. 42,Fire Rescue Victoria,Newport,144.88723913832618,-37.8493574
Fire Station No. 35,Fire Rescue Victoria,Windsor,144.99138022729045,-37.85665565
,,,144.70956162398073,-37.6214957
Kalorama CFA,,,145.3617511961414,-37.823367950000005
Eynesbury Fire Brigade,Country Fire Authority,,144.54793180000001,-37.79166675
,,,145.18445631193651,-38.08565
Doreen CFA Fire Station,,,145.14029438690534,-37.59208575
Fire Station No. 58,Fire Rescue Victoria,Point Cook,144.74663544684987,-37.88649975
Eltham Fire Station,Country Fire Authority,,145.14768491103604,-37.7148476
Fire Station No. 80,Fire Rescue Victoria,Craigieburn,144.9325397832397,-37.59867680000001
Fire Station No. 13,Fire Rescue Victoria,Northcote,144.99943242473677,-37.771916950000005
,,,145.4441517927503,-37.9275925
Officer Fire Brigade,,,145.41018759908994,-38.06222955
Keysborough Fire Station CFA,Country Fire Authority,,145.16126174657074,-38.00445165
Fire Station No. 89,Fire Rescue Victoria,Springvale South,145.14773504988364,-37.9726946
,Fire Rescue Victoria,,145.09551037875,-37.8998347
,,Carrum,145.12774511506734,-38.074273899999994
Carrum Downs Fire Brigade,Country Fire Authority,Carrum Downs,145.18444219880206,-38.08543815
Research CFA,Country Fire Authority,Research,145.1805094,-37.70505395
Skye Fire Station,,,145.20274090154757,-38.11861055
Langwarrin Fire Station,,,145.20884495606487,-38.1583351
Fire Station No. 14,Fire Rescue Victoria,Bundoora,145.04813293254938,-37.710739200000006
Fire Station No. 16,Fire Rescue Victoria,Greensborough,145.098644876991,-37.7045003
Plenty Fire Brigade,Country Fire Authority,,145.122972446084,-37.670457549999995
Little River CFA,,,144.50001049201256,-37.963095550000006
Fire Station No. 25,Fire Rescue Victoria,Oakleigh,145.09533637841608,-37.8999584
Sassafras - Ferny Creek,Country Fire Authority,,145.3445422295228,-37.87530275
Fire Station No. 5,Fire Rescue Victoria,Broadmeadows,144.9294142714,-37.6861863
Tyabb CFA,,,145.1878461569751,-38.26101155
Toolern Vale Fire Station CFA,Country Fire Authority,Toolern Vale,144.59176983879223,-37.6051778
Hoppers Crossing Fire Station CFA,Country Fire Authority,,144.6813179558689,-37.8827263
Truganina CFA,,,144.6950492,-37.8353024
Fire Station No. 4,Fire Rescue Victoria,Brunswick,144.9651079916593,-37.7659274
Christmas Hills North CFA,Country Fire Authority,,145.3174189,-37.6593455
Fire Station No. 45,Fire Rescue Victoria,,144.85041433528914,-37.8197403
Upper Beaconsfield,Country Fire Authority,,145.41118848518596,-38.00405695
Fire Station No. 34,Fire Rescue Victoria,Highett,145.04416783017808,-37.9454712
Belgrave Heights & South Fire Brigade,Country Fire Authority,,145.3556274889117,-37.926663149999996
Fire Station No. 47,Fire Rescue Victoria,Footscray,144.89570241180508,-37.7955759
Greenvale Satellite Fire Station,,,144.88264450260954,-37.607482149999996
Fire Station No. 9,Fire Rescue Victoria,Campbellfield,144.9464096952849,-37.64461365
MFB Station No. 11,Fire Rescue Victoria,Epping,145.0257284099215,-37.6601109
Fire Station No. 19,Fire Rescue Victoria,Balwyn North,145.09529531169164,-37.791773899999995
Fire Station No. 28,Fire Rescue Victoria,Vermont South,145.16965439465054,-37.861604650000004
Fire Station No. 29,Fire Rescue Victoria,Clayton South,145.11675157180946,-37.93891515
Fire Station No. 30,Fire Rescue Victoria,Templestowe,145.1337407340461,-37.7627071
Fire Station No. 32,Fire Rescue Victoria,Caulfield South,145.02575096895464,-37.9017982
Fire Station No. 40,Fire Rescue Victoria,Laverton,144.77066210524814,-37.86564545
Fire Station No. 44,Fire Rescue Victoria,Sunshine North,144.82999545,-37.7745356
Fire Station No. 53,Fire Rescue Victoria,Sunbury,144.71092463769577,-37.57817655
Sunbury Fire Station No. 2,Country Fire Authority,Sunbury,144.73656075000002,-37.5818725
Fire Station No. 54,Fire Rescue Victoria,Greenvale,144.89450102872962,-37.65065715
Fire Station No. 55,Fire Rescue Victoria,Caroline Springs,144.74047585062573,-37.755123999999995
Fire Station No. 56,Fire Rescue Victoria,Melton,144.58185396666667,-37.6854658
Fire Station No. 57,Fire Rescue Victoria,Tarneit,144.68801285763794,-37.84704075
South Warrandyte Fire Station,Fire Rescue Victoria,Park Orchards,145.22136016801687,-37.7702151
Fire Station No. 87,Fire Rescue Victoria,Dandenong,145.20156432652624,-37.9727471
Fire Station No. 92,Fire Rescue Victoria,Cranbourne,145.28408825900368,-38.10389735
Fire Station No. 95,Fire Rescue Victoria,Rosebud,144.8898822425825,-38.3703562
,,,144.88226872432696,-37.68463155
Coldstream CFA,Country Fire Authority,Coldstream,145.3806837947214,-37.7243033
Kalkallo CFA,,,144.9509705036004,-37.54032925
Rye Fire Station,Country Fire Authority,,144.82088904645946,-38.3728564
Fireboat Station,Fire Rescue Victoria,,144.90470425164136,-37.8253663
Crib Point Fire Station,,,145.186488958329,-38.353743050000006
Mount Evelyn CFA Fire Station,Country Fire Authority,,145.38025316854288,-37.7873375
Bulla Fire Station,Country Fire Authority,Bulla,144.80446173213457,-37.63590495
Fire Station No. 59,Fire Rescue Victoria,Derrimut,144.78725329999997,-37.80764405
Fire Station No. 60,Fire Rescue Victoria,,144.94933362233883,-37.6177223
South Warrandyte CFA,Country Fire Authority,,145.2355626715535,-37.7600511
Warrandyte CFA,Country Fire Authority,Warrandyte,145.20962875515215,-37.74804285
North Warrandyte Fire Station,Country Fire Authority,North Warrandyte,145.21414634471915,-37.7293095
Chirnside Park CFA Fire Station,Country Fire Authority,Chirnside Park,145.31714447222322,-37.7499653
Mooroolbark CFA,Country Fire Authority,,145.3202333941622,-37.78567595
Gruyere CFA,Country Fire Authority,Gruyere,145.4496968548247,-37.734276449999996
CFA Narre Warren North,Country Fire Authority,Narre Warren North,145.31376740833332,-37.988691700000004
CFA Narre Warren North,Country Fire Authority,Narre Warren North,145.31376740833332,-37.988691700000004
Bittern Fire Station,Country Fire Authority,,145.17773621559746,-38.3357709
CFA District 13 Headquarters,,Chirnside Park,145.30693599519543,-37.765111000000005
Ferntree Gully CFA,Country Fire Authority,Ferntree Gully,145.29432291232422,-37.8832402
Ferntree Gully CFA,Country Fire Authority,,145.2943995,-37.88348190000001
Wesburn-Millgrove CFA,Country Fire Authority,,145.6544122876477,-37.75454155
Kallista - The Patch CFA,,,145.37160961510205,-37.88538685
CFA,,,144.74369395791422,-37.69287925
Strathewen Fire Station,,,145.2692359152162,-37.548133899999996
CFA,,,145.12870554159434,-38.3732421
Plenty Fire Brigade,Country Fire Authority,,145.122156436762,-37.6702353
,,,145.6024296,-38.03241345
Clematis CFA,Country Fire Authority,,145.42131493436108,-37.931433299999995
Macclesfield CFA,,,145.47731949060795,-37.885546399999996
Wattle Glen Fire Station,Country Fire Authority,,145.18530612012273,-37.66816915
Arthurs Creek Fire Station,Country Fire Authority,,145.2073025220937,-37.5837963
Cockatoo CFA,,,145.4923897124872,-37.9321248
Fire Station No. 24,Fire Rescue Victoria,Glen Iris,145.05672090782681,-37.859192300000004
Hampton Park Fire Brigade,,Hampton Park,145.25842402152745,-38.0312409
CFA District 14 Headquarters,Country Fire Authority,Melton,144.5871101926807,-37.683885950000004
Rockbank CFA,Country Fire Authority,Rockbank,144.65939568519184,-37.731364400000004
Beaconsfield Fire Station,Country Fire Authority,,145.36727655043194,-38.0475417
Fire Station No. 18,Fire Rescue Victoria,Hawthorn,145.04026637492032,-37.82161585
Fire Station No. 41,Fire Rescue Victoria,St Albans,144.81405836640846,-37.729922450000004
