,Suburb,Postcode,Address,Price pw,Date available,Number of bedrooms,Number of bathrooms,Number of carspaces,Type of property,suburb_formatted,address_formatted,latitude,longitude
225,Bundoora,3083,"106/95 Janefield Drive, Bundoora, Vic 3083",430,1/9/2025,1,1,1,Apartment,bundoora,"95 Janefield Drive, Bundoora, Vic",-37.6807371,145.0764294
226,Bundoora,3083,"35/1251 Plenty Road, Bundoora, Vic 3083",520,6/8/2025,2,1,1,House,bundoora,"1251 Plenty Road, Bundoora, Vic",-37.700265,145.057711
227,Bundoora,3083,"22B Arthur Street, Bundoora, Vic 3083",520,15/8/2025,2,2,1,Townhouse,bundoora,"22B Arthur Street, Bundoora, Vic",-37.6991209,145.0551952
228,Bundoora,3083,"140 Mcleans Road, Bundoora, Vic 3083",600,29/8/2025,3,2,3,House,bundoora,"140 Mcleans Road, Bundoora, Vic",-37.6943391,145.0467727
229,Bundoora,3083,"38 Darren Avenue, Bundoora, Vic 3083",510,3/9/2025,3,1,1,House,bundoora,"38 Darren Avenue, Bundoora, Vic",-37.7012003,145.0772088
230,Hurstbridge,3099,"1/840 Heidelberg - Kinglake Road, Hurstbridge, Vic 3099",715,5/9/2025,3,2,2,House,hurstbridge,"840 Heidelberg - Kinglake Road, Hurstbridge, Vic",-37.6380244,145.194301
231,Mernda,3754,"19 Hanley Street, Mernda, Vic 3754",600,6/8/2025,4,2,2,House,mernda,"19 Hanley Street, Mernda, Vic",-37.605398,145.0678728
232,Mernda,3754,"37 Mango Crescent, Mernda, Vic 3754",730,6/8/2025,5,3,2,House,mernda,"37 Mango Crescent, Mernda, Vic",-37.6070938,145.0992668
233,Mernda,3754,"3 Blaimore Way, Mernda, Vic 3754",560,6/8/2025,4,2,2,House,mernda,"3 Blaimore Way, Mernda, Vic",-37.5975479,145.09222
234,Mernda,3754,"159 Everard Road, Mernda, Vic 3754",600,23/8/2025,4,2,2,House,mernda,"159 Everard Road, Mernda, Vic",-37.5906769,145.0821417
235,Mernda,3754,"30 Yoemans Drive, Mernda, Vic 3754",590,25/8/2025,4,2,2,House,mernda,"30 Yoemans Drive, Mernda, Vic",-37.587792,145.0971445
236,Reservoir,3073,"3/47 Drysdale Street, Reservoir, Vic 3073",700,6/8/2025,3,2,2,Townhouse,reservoir,"47 Drysdale Street, Reservoir, Vic",-37.7295655,145.021882
237,Reservoir,3073,"11C Lloyd Avenue, Reservoir, Vic 3073",580,29/8/2025,2,2,2,Townhouse,reservoir,"11C Lloyd Avenue, Reservoir, Vic",-37.6983434,145.0169604
