,Suburb,Postcode,Address,Price pw,Date available,Number of bedrooms,Number of bathrooms,Number of carspaces,Type of property,suburb_formatted,address_formatted,latitude,longitude
0,Box Hill,3128,"1/8 Ashted Road, Box Hill, Vic 3128",500,12/9/2025,2,1,1,Unit,boxhill,"8 Ashted Road, Box Hill, Vic",-37.8231233,145.1236049
1,Box Hill,3128,"1112/850 Whitehorse Road, Box Hill, Vic 3128",610,11/8/2025,2,1,1,Apartment,boxhill,"850 Whitehorse Road, Box Hill, Vic",-37.8176227,145.1184549
2,Box Hill,3128,"1 Elland Avenue, Box Hill, Vic 3128",450,5/8/2025,1,1,0,Apartment,boxhill,"1 Elland Avenue, Box Hill, Vic",-37.8172198,145.1233661
3,Box Hill,3128,"31/1045 Whitehorse Road, Box Hill, Vic 3128",700,6/8/2025,2,2,1,Apartment,boxhill,"1045 Whitehorse Road, Box Hill, Vic",-37.8182599,145.1281647
4,Box Hill,3128,"12/40 Barkly Street, Box Hill, Vic 3128",550,7/8/2025,3,1,2,Unit,boxhill,"40 Barkly Street, Box Hill, Vic",-37.825994,145.1304693
5,Hawthorn,3122,"3/494 Glenferrie Road, Hawthorn, Vic 3122",500,12/8/2025,2,1,1,Apartment,hawthorn,"494 Glenferrie Road, Hawthorn, Vic",-37.8318201,145.0338629
6,Hawthorn,3122,"517B/200 Burwood Road, Hawthorn, Vic 3122",1100,5/9/2025,3,2,2,Apartment,hawthorn,"200 Burwood Road, Hawthorn, Vic",-37.8221063,145.0299116
7,Hawthorn,3122,"4/27 Elphin Grove, Hawthorn, Vic 3122",650,10/9/2025,2,1,1,Apartment,hawthorn,"27 Elphin Grove, Hawthorn, Vic",-37.8181826,145.0423484
8,Hawthorn,3122,"2/111 Riversdale Road, Hawthorn, Vic 3122",525,5/9/2025,1,1,1,Apartment,hawthorn,"111 Riversdale Road, Hawthorn, Vic",-37.8287084,145.0354497
9,Hawthorn,3122,"418D/1 Drill Street, Hawthorn, Vic 3122",1200,1/9/2025,3,2,2,Apartment,hawthorn,"1 Drill Street, Hawthorn, Vic",-37.822137,145.0300486
10,Doncaster,3108,"6/77-79 Wetherby Road, Doncaster, Vic 3108",600,19/8/2025,2,1,2,House,doncaster,"77-79 Wetherby Road, Doncaster, Vic",-37.79392,145.1419781
11,Doncaster,3108,"1/21 Sargent Street, Doncaster, Vic 3108",1200,5/8/2025,4,3,2,Townhouse,doncaster,"21 Sargent Street, Doncaster, Vic",-37.7966039,145.1216103
12,Doncaster,3108,"812/101 Tram Road, Doncaster, Vic 3108",535,21/8/2025,2,1,1,Apartment,doncaster,"101 Tram Road, Doncaster, Vic",-37.7881138,145.1244993
13,Doncaster,3108,"38 Bordeaux Street, Doncaster, Vic 3108",600,5/8/2025,3,2,2,House,doncaster,"38 Bordeaux Street, Doncaster, Vic",-37.7823604,145.1191712
14,Doncaster,3108,"46 Wetherby Road, Doncaster, Vic 3108",1220,11/8/2025,5,2,2,House,doncaster,"46 Wetherby Road, Doncaster, Vic",-37.7909058,145.1432728
15,Mitcham,3132,"1A Bruce Street, Mitcham, Vic 3132",690,5/8/2025,3,2,1,House,mitcham,"1A Bruce Street, Mitcham, Vic",-37.8128985,145.1856979
16,Mitcham,3132,"12 Norman Street, Mitcham, Vic 3132",800,12/8/2025,4,2,1,House,mitcham,"12 Norman Street, Mitcham, Vic",-37.8253421,145.1977296
17,Mitcham,3132,"2/9 Mcghee Avenue, Mitcham, Vic 3132",480,5/9/2025,2,1,1,Unit,mitcham,"9 Mcghee Avenue, Mitcham, Vic",-37.8191561,145.1974361
18,Mitcham,3132,"15/20 Harrison Street, Mitcham, Vic 3132",920,5/8/2025,4,3,2,Townhouse,mitcham,"20 Harrison Street, Mitcham, Vic",-37.8140322,145.1988733
19,Mitcham,3132,"18/20 Harrison Street, Mitcham, Vic 3132",850,5/8/2025,3,2,2,Townhouse,mitcham,"20 Harrison Street, Mitcham, Vic",-37.8140322,145.1988733
20,Burwood,3125,"15 Cumming Street, Burwood, Vic 3125",590,8/8/2025,3,1,2,House,burwood,"15 Cumming Street, Burwood, Vic",-37.8514363,145.1135434
21,Burwood,3125,"G16/373 Burwood Highway, Burwood, Vic 3125",560,1/9/2025,2,2,1,Apartment,burwood,"373 Burwood Highway, Burwood, Vic",-37.8513696,145.1297299
22,Burwood,3125,"206/310 Burwood Highway, Burwood, Vic 3125",540,5/8/2025,2,1,0,Apartment,burwood,"310 Burwood Highway, Burwood, Vic",-37.8509708,145.1210496
23,Burwood,3125,"5/2D Ireland Street, Burwood, Vic 3125",700,18/8/2025,3,2,2,Townhouse,burwood,"2D Ireland Street, Burwood, Vic",-37.8500932,145.1068538
24,Burwood,3125,"2/6 Beddows Street, Burwood, Vic 3125",1095,18/8/2025,4,3,2,Townhouse,burwood,"6 Beddows Street, Burwood, Vic",-37.8536571,145.11838
25,Blackburn,3130,"1 Railway Road, Blackburn, Vic 3130",750,14/8/2025,3,2,2,House,blackburn,"1 Railway Road, Blackburn, Vic",-37.8195451,145.1456843
26,Blackburn,3130,"16/12 John Street, Blackburn, Vic 3130",490,9/8/2025,2,1,0,Unit,blackburn,"12 John Street, Blackburn, Vic",-37.8157355,145.1523943
27,Blackburn,3130,"18 Hillside Crescent, Blackburn, Vic 3130",1100,17/9/2025,4,3,2,Townhouse,blackburn,"18 Hillside Crescent, Blackburn, Vic",-37.8227382,145.1389796
28,Blackburn,3130,"5/15-17 Laburnum Street, Blackburn, Vic 3130",550,11/9/2025,2,1,1,Unit,blackburn,"15-17 Laburnum Street, Blackburn, Vic",-37.8205679,145.1423475
29,Blackburn,3130,"5/4 Lithgow Avenue, Blackburn, Vic 3130",500,5/8/2025,1,1,1,Unit,blackburn,"4 Lithgow Avenue, Blackburn, Vic",-37.8189811,145.1460425
30,Ringwood,3134,"5/1 Vine Street, Ringwood, Vic 3134",550,5/8/2025,2,1,1,Unit,ringwood,"1 Vine Street, Ringwood, Vic",-37.8228431,145.2266004
31,Ringwood,3134,"402 Maroondah Highway, Ringwood, Vic 3134",525,5/8/2025,3,1,2,House,ringwood,"402 Maroondah Highway, Ringwood, Vic",-37.7995192,145.2522882
32,Ringwood,3134,"4A Keith Grove, Ringwood, Vic 3134",670,7/10/2025,3,2,1,House,ringwood,"4A Keith Grove, Ringwood, Vic",-37.8212336,145.2225223
33,Ringwood,3134,"21 Oliver Street, Ringwood, Vic 3134",650,5/8/2025,4,1,0,House,ringwood,"21 Oliver Street, Ringwood, Vic",-37.8087679,145.2372398
34,Ringwood,3134,"303/7-9 Bardia Street, Ringwood, Vic 3134",460,5/9/2025,1,1,1,Apartment,ringwood,"7-9 Bardia Street, Ringwood, Vic",-37.812136,145.2334027
35,Nunawading,3131,"10 Tasman Avenue, Nunawading, Vic 3131",630,12/9/2025,3,1,2,House,nunawading,"10 Tasman Avenue, Nunawading, Vic",-37.8067118,145.1737738
36,Nunawading,3131,"6/26 Oxford Street, Nunawading, Vic 3131",880,5/8/2025,4,3,2,Townhouse,nunawading,"26 Oxford Street, Nunawading, Vic",-37.8031081,145.1842019
37,Nunawading,3131,"7/51 Mcculloch Street, Nunawading, Vic 3131",550,5/8/2025,2,1,1,Unit,nunawading,"51 Mcculloch Street, Nunawading, Vic",-37.8167535,145.1799277
38,Nunawading,3131,"2/29 Efron Street, Nunawading, Vic 3131",375,5/8/2025,1,1,2,Unit,nunawading,"29 Efron Street, Nunawading, Vic",-37.8091754,145.1806545
39,Nunawading,3131,"25/35-47 Burnt Street, Nunawading, Vic 3131",500,18/8/2025,2,1,1,House,nunawading,"35-47 Burnt Street, Nunawading, Vic",-37.8170696,145.1748608
40,Camberwell,3124,"111/1101 Toorak Road, Camberwell, Vic 3124",620,25/8/2025,2,2,1,Apartment,camberwell,"1101 Toorak Road, Camberwell, Vic",-37.8479358,145.075152
41,Camberwell,3124,"2/597 Burke Road, Camberwell, Vic 3124",1700,5/8/2025,4,3,2,Townhouse,camberwell,"597 Burke Road, Camberwell, Vic",-37.8404727,145.0547655
42,Camberwell,3124,"14A Judd Street, Camberwell, Vic 3124",695,5/9/2025,2,1,2,Unit,camberwell,"14A Judd Street, Camberwell, Vic",-37.8368158,145.0647903
43,Camberwell,3124,"43 Spencer Road, Camberwell, Vic 3124",890,5/8/2025,3,1,1,House,camberwell,"43 Spencer Road, Camberwell, Vic",-37.8289051,145.0707759
44,Camberwell,3124,"S1/431 Camberwell Rd, Camberwell, Vic 3124",400,5/8/2025,1,1,1,Unit,camberwell,"431 Camberwell Rd, Camberwell, Vic",-37.8372814,145.0638821
45,Glen Waverley,3150,"2/3 Owens Avenue, Glen Waverley, Vic 3150",700,30/8/2025,3,2,1,Unit,glenwaverley,"3 Owens Avenue, Glen Waverley, Vic",-37.8895557,145.1592866
46,Glen Waverley,3150,"1/18 Garrisson Drive, Glen Waverley, Vic 3150",925,27/8/2025,4,2,2,Townhouse,glenwaverley,"18 Garrisson Drive, Glen Waverley, Vic",-37.8788361,145.173969
47,Glen Waverley,3150,"18 Glen Road, Glen Waverley, Vic 3150",1380,8/8/2025,4,3,2,House,glenwaverley,"18 Glen Road, Glen Waverley, Vic",-37.8811099,145.1687042
48,Glen Waverley,3150,"410/52-54 O'Sullivan Road, Glen Waverley, Vic 3150",950,5/8/2025,3,3,2,Apartment,glenwaverley,"52-54 O'Sullivan Road, Glen Waverley, Vic",-37.8789122,145.1649082
49,Glen Waverley,3150,"802/2 Snedden Drive, Glen Waverley, Vic 3150",660,22/8/2025,1,1,1,Apartment,glenwaverley,"2 Snedden Drive, Glen Waverley, Vic",-37.878079,145.1641303
50,Brighton,3186,"210/79-81 Asling Street, Brighton, Vic 3186",640,13/8/2025,2,1,1,Apartment,brighton,"79-81 Asling Street, Brighton, Vic",-37.9024096,145.0021649
51,Brighton,3186,"56 Asling Street, Brighton, Vic 3186",1400,5/8/2025,3,2,2,House,brighton,"56 Asling Street, Brighton, Vic",-37.9010044,145.0026477
52,Brighton,3186,"2/117 Cochrane Street, Brighton, Vic 3186",680,9/8/2025,2,1,1,Villa,brighton,"117 Cochrane Street, Brighton, Vic",-37.8941254,144.9997547
53,Brighton,3186,"26/18 Cochrane Street, Brighton, Vic 3186",470,5/8/2025,1,1,1,Apartment,brighton,"18 Cochrane Street, Brighton, Vic",-37.9039974,144.998538
54,Brighton,3186,"6 Byron Street, Brighton, Vic 3186",2300,15/8/2025,4,3,2,House,brighton,"6 Byron Street, Brighton, Vic",-37.9086188,145.006278
55,Lilydale,3140,"17 Horatio Court, Lilydale, Vic 3140",700,11/9/2025,3,2,2,House,lilydale,"17 Horatio Court, Lilydale, Vic",-37.7468447,145.363589
56,Lilydale,3140,"4/29 Maroondah Highway, Lilydale, Vic 3140",570,8/8/2025,3,1,2,House,lilydale,"29 Maroondah Highway, Lilydale, Vic",-37.7575967,145.3402256
57,Lilydale,3140,"2/17 Rouke Street, Lilydale, Vic 3140",590,14/8/2025,2,1,1,Townhouse,lilydale,"17 Rouke Street, Lilydale, Vic",-37.7543306,145.338067
58,Lilydale,3140,"2/114 Maroondah Highway, Croydon, Vic 3136",720,19/9/2025,3,2,2,Apartment,lilydale,"114 Maroondah Highway, Croydon, Vic",-37.7882867,145.2722109
59,Lilydale,3140,"4/33 Slevin Street, Lilydale, Vic 3140",620,18/8/2025,4,1,3,House,lilydale,"33 Slevin Street, Lilydale, Vic",-37.7531077,145.3402557
60,Berwick,3806,"25 Willslie Crescent, Berwick, Vic 3806",580,8/8/2025,3,1,2,House,berwick,"25 Willslie Crescent, Berwick, Vic",-38.0527953,145.3407911
61,Berwick,3806,"10 Carnival Boulevard, Berwick, Vic 3806",550,22/9/2025,3,2,2,House,berwick,"10 Carnival Boulevard, Berwick, Vic",-38.0726252,145.3620879
62,Berwick,3806,"83 Golf Links Road, Berwick, Vic 3806",630,5/9/2025,4,2,1,House,berwick,"83 Golf Links Road, Berwick, Vic",-38.0443933,145.3323069
63,Berwick,3806,"2 Larne Close, Berwick, Vic 3806",670,13/8/2025,4,2,2,House,berwick,"2 Larne Close, Berwick, Vic",-38.0440072,145.3242004
64,Berwick,3806,"32 Macreadie Drive, Berwick, Vic 3806",750,30/9/2025,4,2,2,House,berwick,"32 Macreadie Drive, Berwick, Vic",-38.0626213,145.3636491
65,Noble Park,3174,"1/1030 Heatherton Road, Noble Park, Vic 3174",360,5/8/2025,2,1,1,Unit,noblepark,"1030 Heatherton Road, Noble Park, Vic",-37.9643698,145.1660001
66,Noble Park,3174,"3/54 Corrigan Road, Noble Park, Vic 3174",450,11/8/2025,2,1,2,Unit,noblepark,"54 Corrigan Road, Noble Park, Vic",-37.9575062,145.1693578
67,Noble Park,3174,"5/74 Callander Road, Noble Park, Vic 3174",440,45908,2,1,1,Unit,noblepark,"74 Callander Road, Noble Park, Vic",-37.9562219,145.1789047
68,Noble Park,3174,"1 Shepreth Avenue, Noble Park, Vic 3174",600,15/8/2025,3,1,2,House,noblepark,"1 Shepreth Avenue, Noble Park, Vic",-37.9710629,145.1807365
69,Noble Park,3174,"9/1244 Heatherton Road, Noble Park, Vic 3174",400,5/8/2025,1,1,1,Unit,noblepark,"1244 Heatherton Road, Noble Park, Vic",-37.9666641,145.1857818
70,Springvale,3171,"38 Royal Avenue, Springvale, Vic 3171",550,5/8/2025,3,2,3,House,springvale,"38 Royal Avenue, Springvale, Vic",-37.9523736,145.1481272
71,Springvale,3171,"1/44 Princess Avenue, Springvale, Vic 3171",570,5/8/2025,3,1,2,Unit,springvale,"44 Princess Avenue, Springvale, Vic",-37.9500776,145.1447966
72,Springvale,3171,"2/34 Union Grove, Springvale, Vic 3171",750,5/8/2025,3,2,2,Townhouse,springvale,"34 Union Grove, Springvale, Vic",-37.9533694,145.1537176
73,Springvale,3171,"2/10 Albert Avenue, Springvale, Vic 3171",420,5/8/2025,2,1,1,Apartment,springvale,"10 Albert Avenue, Springvale, Vic",-37.9461324,145.1467946
74,Springvale,3171,"2/8 Kelvin Grove, Springvale, Vic 3171",320,22/8/2025,1,1,1,Apartment,springvale,"8 Kelvin Grove, Springvale, Vic",-37.9483553,145.1539961
75,Clayton,3168,"1/1484 North Road, Clayton, Vic 3168",650,9/9/2025,4,1,1,Unit,clayton,"1484 North Road, Clayton, Vic",-37.9144319,145.1241133
76,Clayton,3168,"1499 Centre Road, Clayton, Vic 3168",980,5/8/2025,4,4,1,House,clayton,"1499 Centre Road, Clayton, Vic",-37.9299205,145.1314434
77,Clayton,3168,"12/6 Arnott Street, Clayton, Vic 3168",430,11/8/2025,1,1,1,Apartment,clayton,"6 Arnott Street, Clayton, Vic",-37.9166777,145.1350829
78,Clayton,3168,"202/4 Nicholson Court, Clayton, Vic 3168",620,5/8/2025,2,1,1,Unit,clayton,"4 Nicholson Court, Clayton, Vic",-37.9246116,145.1188939
79,Clayton,3168,"204/2-8 Murray Street, Clayton, Vic 3168",615,5/8/2025,3,2,1,Apartment,clayton,"2-8 Murray Street, Clayton, Vic",-37.9184034,145.1223336
80,Caulfield,3162,"109/7-13 Dudley Street, Caulfield, Vic 3162",500,1/9/2025,2,1,1,Apartment,caulfield,"7-13 Dudley Street, Caulfield, Vic",-37.8801963,145.0474375
81,Caulfield,3162,"G04/127-129 Murray Street, Caulfield, Vic 3162",710,5/8/2025,2,2,2,Apartment,caulfield,"127-129 Murray Street, Caulfield, Vic",-37.8852318,145.0171678
82,Caulfield,3162,"5/22 Filbert Street, Caulfield, Vic 3162",450,5/8/2025,2,1,1,Unit,caulfield,"22 Filbert Street, Caulfield, Vic",-37.8909863,145.0230816
83,Caulfield,3162,"3/118 Murray St, Caulfield, Vic 3162",550,5/8/2025,1,1,1,Apartment,caulfield,"118 Murray St, Caulfield, Vic",-37.8857198,145.0198736
84,Caulfield,3162,"18 Newstead St, Caulfield, Vic 3162",1250,5/8/2025,6,3,2,House,caulfield,"18 Newstead St, Caulfield, Vic",-37.8830809,145.020606
85,Hughesdale,3166,"Rear/94 Kangaroo Road, Hughesdale, Vic 3166",450,5/8/2025,1,1,0,Apartment,hughesdale,"94 Kangaroo Road, Hughesdale, Vic",-37.8986577,145.0761438
86,Hughesdale,3166,"3/38 Maroo Street, Hughesdale, Vic 3166",550,22/8/2025,2,1,1,Unit,hughesdale,"38 Maroo Street, Hughesdale, Vic",-37.8913291,145.0821282
87,Hughesdale,3166,"106/175 Kangaroo Road, Hughesdale, Vic 3166",440,3/9/2025,1,1,1,Apartment,hughesdale,"175 Kangaroo Road, Hughesdale, Vic",-37.9007375,145.0859074
88,Hughesdale,3166,"12 Wilbur Crescent, Hughesdale, Vic 3166",795,5/8/2025,4,2,3,House,hughesdale,"12 Wilbur Crescent, Hughesdale, Vic",-37.8934766,145.0814042
89,Hughesdale,3166,"4/89 Kangaroo Road, Hughesdale, Vic 3166",620,5/8/2025,2,1,1,Unit,hughesdale,"89 Kangaroo Road, Hughesdale, Vic",-37.8987933,145.0780948
90,Chadstone,3148,"3/2 Kelly Street, Chadstone, Vic 3148",550,12/8/2025,2,1,2,Unit,chadstone,"2 Kelly Street, Chadstone, Vic",-37.8853751,145.0930106
91,Chadstone,3148,"2/39 Jindabyne Avenue, Chadstone, Vic 3148",980,6/8/2025,4,2,1,House,chadstone,"39 Jindabyne Avenue, Chadstone, Vic",-37.8763366,145.1033744
92,Chadstone,3148,"10B Highfield Road, Chadstone, Vic 3148",930,5/8/2025,4,3,1,House,chadstone,"10B Highfield Road, Chadstone, Vic",-37.8880102,145.1050869
93,Chadstone,3148,"216/70 Batesford Road, Chadstone, Vic 3148",590,5/8/2025,2,1,1,Apartment,chadstone,"70 Batesford Road, Chadstone, Vic",-37.8758277,145.0935832
94,Chadstone,3148,"302/21 Collins Street, Chadstone, Vic 3148",620,5/8/2025,2,1,1,Apartment,chadstone,"21 Collins Street, Chadstone, Vic",-37.8761115,145.0936238
95,Carnegie,3163,"2/336 Neerim Road, Carnegie, Vic 3163",530,20/8/2025,2,1,1,Apartment,carnegie,"336 Neerim Road, Carnegie, Vic",-37.8893868,145.0609794
96,Carnegie,3163,"1/1 Newman Avenue, Carnegie, Vic 3163",400,6/9/2025,1,1,1,Apartment,carnegie,"1 Newman Avenue, Carnegie, Vic",-37.9008079,145.0519522
97,Carnegie,3163,"4/1100 Dandenong Road, Carnegie, Vic 3163",500,21/8/2025,1,1,1,Apartment,carnegie,"1100 Dandenong Road, Carnegie, Vic",-37.8845015,145.0593218
98,Carnegie,3163,"110/316 Neerim Road, Carnegie, Vic 3163",650,5/8/2025,2,2,1,Apartment,carnegie,"316 Neerim Road, Carnegie, Vic",-37.8890956,145.0595058
99,Carnegie,3163,"305/1256 Glen Huntly Road, Carnegie, Vic 3163",695,28/8/2025,2,2,1,Apartment,carnegie,"1256 Glen Huntly Road, Carnegie, Vic",-37.8901425,145.0470124
100,Carlton,3053,"2512/551 Swanston Street, Carlton, Vic 3053",755,25/8/2025,2,2,0,Apartment,carlton,"551 Swanston Street, Carlton, Vic",-37.8056782,144.9623566
101,Carlton,3053,"2006/28 Bouverie Street, Carlton, Vic 3053",795,11/8/2025,2,2,0,Apartment,carlton,"28 Bouverie Street, Carlton, Vic",-37.8056215,144.9618704
102,Carlton,3053,"707A/640 Swanston Street, Carlton, Vic 3053",700,25/8/2025,2,1,1,Apartment,carlton,"640 Swanston Street, Carlton, Vic",-37.8048498,144.9631296
103,Carlton,3053,"23/411 Lygon Street, Carlton, Vic 3053",660,5/8/2025,2,1,1,Townhouse,carlton,"411 Lygon Street, Carlton, Vic",-37.7948366,144.9675549
104,Carlton,3053,"311/127 Cardigan Street, Carlton, Vic 3053",850,5/8/2025,2,2,1,Apartment,carlton,"127 Cardigan Street, Carlton, Vic",-37.7964776,144.9660926
105,Carlton North,3054,"38 Pigdon Street, Carlton North, Vic 3054",675,5/8/2025,2,1,0,House,carltonnorth,"38 Pigdon Street, Carlton North, Vic",-37.7823295,144.9762792
106,Carlton North,3054,"163 Lee Street, Carlton North, Vic 3054",600,5/8/2025,2,1,0,House,carltonnorth,"163 Lee Street, Carlton North, Vic",-37.791167,144.969489
107,Carlton North,3054,"2/623 Drummond Street, Carlton North, Vic 3054",580,5/8/2025,2,1,1,Apartment,carltonnorth,"623 Drummond Street, Carlton North, Vic",-37.7904042,144.9696496
108,Docklands,3008,"606/421 Docklands Drive, Docklands, Vic 3008",600,5/8/2025,1,1,0,Apartment,docklands,"421 Docklands Drive, Docklands, Vic",-37.81438,144.9393501
109,Docklands,3008,"101/12 Waterview Walk, Docklands, Vic 3008",720,15/9/2025,2,2,1,Apartment,docklands,"12 Waterview Walk, Docklands, Vic",-37.8194588,144.9478508
110,Docklands,3008,"406W/888 Collins Street, Docklands, Vic 3008",600,22/8/2025,1,1,0,Apartment,docklands,"888 Collins Street, Docklands, Vic",-37.8192663,144.9536472
111,Docklands,3008,"2812B/100 Harbour Esplanade, Docklands, Vic 3008",480,22/8/2025,1,1,0,Studio,docklands,"100 Harbour Esplanade, Docklands, Vic",-37.8182734,144.9471193
112,Docklands,3008,"1909/8 Pearl River Rd, Docklands, Vic 3008",600,8/8/2025,1,1,0,Apartment,docklands,"8 Pearl River Rd, Docklands, Vic",-37.8154756,144.9382401
113,East Melbourne,3002,"16 Vale Street, East Melbourne, Vic 3002",1500,5/8/2025,3,3,1,Townhouse,eastmelbourne,"16 Vale Street, East Melbourne, Vic",-37.8192087,144.9891606
114,East Melbourne,3002,"601/279 Wellington Parade South, East Melbourne, Vic 3002",1475,5/8/2025,3,2,2,Apartment,eastmelbourne,"279 Wellington Parade South, East Melbourne, Vic",-37.8166511,144.9824712
115,East Melbourne,3002,"1105/162 Albert Street, East Melbourne, Vic 3002",575,5/8/2025,2,1,1,Apartment,eastmelbourne,"162 Albert Street, East Melbourne, Vic",-37.7697646,144.9693843
116,Flemington,3031,"3/71-73 Edinburgh Street, Flemington, Vic 3031",860,5/8/2025,3,2,1,Apartment,flemington,"71-73 Edinburgh Street, Flemington, Vic",-37.7855844,144.9243707
117,Flemington,3031,"228/1 Ascot Vale Road, Flemington, Vic 3031",600,9/8/2025,2,2,1,Apartment,flemington,"1 Ascot Vale Road, Flemington, Vic",-37.7868297,144.9211478
118,Flemington,3031,"125D Victoria Street, Flemington, Vic 3031",700,3/9/2025,3,1,0,House,flemington,"125D Victoria Street, Flemington, Vic",-37.7851052,144.9353906
119,Kensington,3031,"50 Westbourne Road, Kensington, Vic 3031",560,3/9/2025,2,1,1,House,kensington,"50 Westbourne Road, Kensington, Vic",-37.7924074,144.9231674
120,Kensington,3031,"F107/348 Macaulay Road, Kensington, Vic 3031",680,5/8/2025,1,1,0,Apartment,kensington,"348 Macaulay Road, Kensington, Vic",-37.7947716,144.9345257
121,Kensington,3031,"Eg11/348 Macaulay Road, Kensington, Vic 3031",1039,5/8/2025,3,2,1,Apartment,kensington,"348 Macaulay Road, Kensington, Vic",-37.7947716,144.9345257
122,Melbourne,3000,"2710C/633 Little Lonsdale Street, Melbourne, Vic 3000",800,20/9/2025,2,1,0,Apartment,melbourne,"633 Little Lonsdale Street, Melbourne, Vic",-37.8138114,144.9531422
123,Melbourne,3000,"3511A/250 Spencer Street, Melbourne, Vic 3000",880,5/8/2025,2,2,0,Apartment,melbourne,"250 Spencer Street, Melbourne, Vic",-37.8230178,144.9558744
124,Melbourne,3000,"2709/23 Mackenzie Street, Melbourne, Vic 3000",980,5/8/2025,2,2,0,Apartment,melbourne,"23 Mackenzie Street, Melbourne, Vic",-37.7619012,144.9582278
125,Melbourne,3000,"2409/33 Mackenzie Street, Melbourne, Vic 3000",700,5/8/2025,2,1,1,Apartment,melbourne,"33 Mackenzie Street, Melbourne, Vic",-37.7618882,144.9579456
126,Melbourne,3000,"1202/442-450 Elizabeth Street, Melbourne, Vic 3000",780,5/8/2025,2,1,0,Apartment,melbourne,"442-450 Elizabeth Street, Melbourne, Vic",-37.8143341,144.9632901
127,Melbourne,3000,"705/68 La Trobe Street, Melbourne, Vic 3000",730,5/8/2025,2,2,0,Apartment,melbourne,"68 La Trobe Street, Melbourne, Vic",-37.8083601,144.9665562
128,Melbourne,3000,"2610/181 Abeckett Street, Melbourne, Vic 3000",470,18/8/2025,1,1,0,Apartment,melbourne,"181 Abeckett Street, Melbourne, Vic",-38.1164672,145.1491375
