Geo Point,Geo Shape,prop_id,name,addresspt1,xorg,ext_id,asset_clas,label,asset_type,easting,northing,str_id,addresspt_,asset_subt,xsource,profile,xdate,xdrawing,mcc_id,roadseg_id
"-37.81923199958184, 144.9646529995977","{""coordinates"": [144.9646529995977, -37.81923199958184], ""type"": ""Point""}",0,,0.0,ESG,2738,,18.964,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.819483999969265, 144.96349200011826","{""coordinates"": [144.96349200011826, -37.819483999969265], ""type"": ""Point""}",0,,0.0,ESG,3120,,30.987,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.819645000201746, 144.96288900059943","{""coordinates"": [144.96288900059943, -37.819645000201746], ""type"": ""Point""}",0,,0.0,ESG,3383,,10.557,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.819523999816276, 144.96334399973074","{""coordinates"": [144.96334399973074, -37.819523999816276], ""type"": ""Point""}",0,,0.0,ESG,3172,,9.775,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81941900013266, 144.9637219996936","{""coordinates"": [144.9637219996936, -37.81941900013266], ""type"": ""Point""}",0,,0.0,ESG,3046,,6.843,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.819578000111115, 144.9631550001374","{""coordinates"": [144.9631550001374, -37.819578000111115], ""type"": ""Point""}",0,,0.0,ESG,3257,,4.008,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81834400035458, 144.9746179996825","{""coordinates"": [144.9746179996825, -37.81834400035458], ""type"": ""Point""}",0,,0.0,ESG,3564,,9.091,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.819075000232864, 144.9735070003087","{""coordinates"": [144.9735070003087, -37.819075000232864], ""type"": ""Point""}",0,,0.0,ESG,5431,,36.266,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81860800029915, 144.9720329995705","{""coordinates"": [144.9720329995705, -37.81860800029915], ""type"": ""Point""}",0,,0.0,ESG,4959,,11.144,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81864899999083, 144.97232800052603","{""coordinates"": [144.97232800052603, -37.81864899999083], ""type"": ""Point""}",0,,0.0,ESG,5041,,7.82,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.8188469996032, 144.9730960000366","{""coordinates"": [144.9730960000366, -37.8188469996032], ""type"": ""Point""}",0,,0.0,ESG,5276,,3.91,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.818859000376364, 144.97313300021963","{""coordinates"": [144.97313300021963, -37.818859000376364], ""type"": ""Point""}",0,,0.0,ESG,5286,,6.354,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81930300033946, 144.9739709999031","{""coordinates"": [144.9739709999031, -37.81930300033946], ""type"": ""Point""}",0,,0.0,ESG,5589,,28.152,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81930499958459, 144.97397600055405","{""coordinates"": [144.97397600055405, -37.81930499958459], ""type"": ""Point""}",0,,0.0,ESG,5591,,25.806,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.819355000346654, 144.9740600001057","{""coordinates"": [144.9740600001057, -37.819355000346654], ""type"": ""Point""}",0,,0.0,ESG,5625,,0.098,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81911299955904, 144.97358199962332","{""coordinates"": [144.97358199962332, -37.81911299955904], ""type"": ""Point""}",0,,0.0,ESG,5460,,11.926,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.819400999892146, 144.97413399965677","{""coordinates"": [144.97413399965677, -37.819400999892146], ""type"": ""Point""}",0,,0.0,ESG,5654,,0.391,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.819551000154256, 144.97437800055926","{""coordinates"": [144.97437800055926, -37.819551000154256], ""type"": ""Point""}",0,,0.0,ESG,5736,,15.249,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81967899988855, 144.97454800059074","{""coordinates"": [144.97454800059074, -37.81967899988855], ""type"": ""Point""}",0,,0.0,ESG,5804,,2.053,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.819697999579695, 144.97457299990413","{""coordinates"": [144.97457299990413, -37.819697999579695], ""type"": ""Point""}",0,,0.0,ESG,5813,,1.564,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.82083099967429, 144.97571700039754","{""coordinates"": [144.97571700039754, -37.82083099967429], ""type"": ""Point""}",0,,0.0,ESG,6356,,12.708,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.82100200007614, 144.97586400043915","{""coordinates"": [144.97586400043915, -37.82100200007614], ""type"": ""Point""}",0,,0.0,ESG,6443,,21.994,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.82034099989566, 144.9753000005489","{""coordinates"": [144.9753000005489, -37.82034099989566], ""type"": ""Point""}",0,,0.0,ESG,6101,,2.151,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.82072800013909, 144.97564699951687","{""coordinates"": [144.97564699951687, -37.82072800013909], ""type"": ""Point""}",0,,0.0,ESG,6290,,14.174,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.8213369999903, 144.97613099993026","{""coordinates"": [144.97613099993026, -37.8213369999903], ""type"": ""Point""}",0,,0.0,ESG,6607,,4.594,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.82178399972085, 144.97651600059626","{""coordinates"": [144.97651600059626, -37.82178399972085], ""type"": ""Point""}",0,,0.0,ESG,6820,,30.694,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.82178500008505, 144.9765170002769","{""coordinates"": [144.9765170002769, -37.82178500008505], ""type"": ""Point""}",0,,0.0,ESG,6850,,29.326,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.819531999907774, 144.97499799962907","{""coordinates"": [144.97499799962907, -37.819531999907774], ""type"": ""Point""}",0,,0.0,ESG,7159,,8.504,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81952899964943, 144.9749829996892","{""coordinates"": [144.9749829996892, -37.81952899964943], ""type"": ""Point""}",0,,0.0,ESG,7163,,11.828,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.819714999824846, 144.97550600003854","{""coordinates"": [144.97550600003854, -37.819714999824846], ""type"": ""Point""}",0,,0.0,ESG,7004,,9.971,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81967099958691, 144.9753900000871","{""coordinates"": [144.9753900000871, -37.81967099958691], ""type"": ""Point""}",0,,0.0,ESG,7041,,9.482,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81960599956437, 144.97518299976676","{""coordinates"": [144.97518299976676, -37.81960599956437], ""type"": ""Point""}",0,,0.0,ESG,7101,,8.113,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81940600016164, 144.97466200025212","{""coordinates"": [144.97466200025212, -37.81940600016164], ""type"": ""Point""}",0,,0.0,ESG,7296,,41.74,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81908900028092, 144.97378800016543","{""coordinates"": [144.97378800016543, -37.81908900028092], ""type"": ""Point""}",0,,0.0,ESG,7667,,5.083,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.8193339999155, 144.9457840003125","{""coordinates"": [144.9457840003125, -37.8193339999155], ""type"": ""Point""}",0,,0.0,ESG,7912,,42.424,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81923900023618, 144.94606599986744","{""coordinates"": [144.94606599986744, -37.81923900023618], ""type"": ""Point""}",0,,0.0,ESG,7848,,19.159,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.802678000255284, 144.97101199968725","{""coordinates"": [144.97101199968725, -37.802678000255284], ""type"": ""Point""}",0,,0.0,ESG,11936,,1.173,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80267099966833, 144.97103499983126","{""coordinates"": [144.97103499983126, -37.80267099966833], ""type"": ""Point""}",0,,0.0,ESG,11942,,0.489,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80267499982175, 144.97041000051064","{""coordinates"": [144.97041000051064, -37.80267499982175], ""type"": ""Point""}",0,,0.0,ESG,11589,,6.256,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81162499990851, 144.97497300058805","{""coordinates"": [144.97497300058805, -37.81162499990851], ""type"": ""Point""}",0,,0.0,ESG,9759,,7.918,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.802518000092945, 144.97147800035407","{""coordinates"": [144.97147800035407, -37.802518000092945], ""type"": ""Point""}",0,,0.0,ESG,12062,,0.196,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80115299964929, 144.97230499996584","{""coordinates"": [144.97230499996584, -37.80115299964929], ""type"": ""Point""}",0,,0.0,ESG,10751,,4.79,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.801166999588276, 144.9722969996201","{""coordinates"": [144.9722969996201, -37.801166999588276], ""type"": ""Point""}",0,,0.0,ESG,10766,,8.895,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81451799977094, 144.9400409995713","{""coordinates"": [144.9400409995713, -37.81451799977094], ""type"": ""Point""}",0,,0.0,ESG,10694,,12.805,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81121800003385, 144.97520400000099","{""coordinates"": [144.97520400000099, -37.81121800003385], ""type"": ""Point""}",0,,0.0,ESG,9533,,22.483,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81127500019095, 144.97517600006952","{""coordinates"": [144.97517600006952, -37.81127500019095], ""type"": ""Point""}",0,,0.0,ESG,9568,,11.828,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80289799961457, 144.9702000002942","{""coordinates"": [144.9702000002942, -37.80289799961457], ""type"": ""Point""}",0,,0.0,ESG,11695,,0.88,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.82018899999598, 144.94239500009857","{""coordinates"": [144.94239500009857, -37.82018899999598], ""type"": ""Point""}",0,,0.0,ESG,8737,,50.831,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81393800044639, 144.94137200040112","{""coordinates"": [144.94137200040112, -37.81393800044639], ""type"": ""Point""}",0,,0.0,ESG,10345,,21.31,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.82015999960122, 144.94274899969383","{""coordinates"": [144.94274899969383, -37.82015999960122], ""type"": ""Point""}",0,,0.0,ESG,8401,,45.552,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80186899975906, 144.97153599983056","{""coordinates"": [144.97153599983056, -37.80186899975906], ""type"": ""Point""}",0,,0.0,ESG,11202,,5.67,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81994099988496, 144.94362099984082","{""coordinates"": [144.94362099984082, -37.81994099988496], ""type"": ""Point""}",0,,0.0,ESG,8278,,52.688,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.819619999591374, 144.94426999970764","{""coordinates"": [144.94426999970764, -37.819619999591374], ""type"": ""Point""}",0,,0.0,ESG,9044,,73.998,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80286299956676, 144.97048600030806","{""coordinates"": [144.97048600030806, -37.80286299956676], ""type"": ""Point""}",0,,0.0,ESG,11794,,4.985,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80270300021334, 144.9709400004009","{""coordinates"": [144.9709400004009, -37.80270300021334], ""type"": ""Point""}",0,,0.0,ESG,11916,,1.369,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.802482999967594, 144.97074099948227","{""coordinates"": [144.97074099948227, -37.802482999967594], ""type"": ""Point""}",0,,0.0,ESG,11500,,0.782,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.802496000230164, 144.97071500027224","{""coordinates"": [144.97071500027224, -37.802496000230164], ""type"": ""Point""}",0,,0.0,ESG,11507,,1.075,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80250199985677, 144.97070300021045","{""coordinates"": [144.97070300021045, -37.80250199985677], ""type"": ""Point""}",0,,0.0,ESG,11510,,1.564,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81908400037274, 144.94616700020333","{""coordinates"": [144.94616700020333, -37.81908400037274], ""type"": ""Point""}",0,,0.0,ESG,9353,,60.997,,0.0,0.0,0,0,,,,20140916,,0,0
