Date	Daily global solar exposure (MJ/m*m)	Covid Restrictions	Rainfall amount (millimetres)	Public_Holiday	Maximum temperature (Degree C)	Minimum temperature (Degree C)	Total_Pedestrian_Count_per_day
01-31-2015	26.2	0	0.0	0	20.2	14.3	454552
02-01-2015	17.3	0	11.8	0	19.0	13.2	359600
02-02-2015	23.9	0	2.6	0	21.1	13.5	497991
02-03-2015	22.7	0	0.0	0	20.0	16.1	519223
02-04-2015	21.2	0	0.0	0	19.0	14.8	531553
02-05-2015	28.8	0	0.0	0	24.2	13.3	553957
02-06-2015	28.4	0	0.0	0	35.7	14.5	598130
02-07-2015	16.1	0	0.0	0	35.0	18.8	456256
02-08-2015	16.6	0	0.0	0	21.5	18.9	393458
02-09-2015	28.6	0	0.0	0	28.3	13.6	516238
02-10-2015	27.7	0	0.0	0	27.8	16.4	533244
02-11-2015	24.1	0	0.0	0	26.8	18.1	518877
02-12-2015	23.8	0	0.0	0	21.9	17.8	566425
02-13-2015	14.9	0	0.0	0	32.4	16.1	577716
02-14-2015	20.8	0	20.8	0	25.1	19.0	601566
02-15-2015	25.7	0	0.4	0	34.4	18.2	458469
02-16-2015	26.3	0	0.0	0	24.6	17.4	522039
02-17-2015	8.3	0	0.0	0	20.6	17.6	554552
02-18-2015	7.8	0	0.0	0	21.2	17.7	629421
02-19-2015	24.7	0	0.0	0	26.9	18.2	641733
02-20-2015	24.7	0	0.0	0	25.3	17.4	696494
02-21-2015	20.0	0	0.0	0	36.1	18.1	711394
02-22-2015	11.7	0	2.2	0	35.3	20.3	703631
02-23-2015	4.7	0	0.0	0	29.3	21.1	546358
02-24-2015	21.4	0	3.6	0	20.1	15.9	614174
02-25-2015	24.1	0	0.0	0	27.0	14.0	639207
02-26-2015	18.5	0	0.0	0	23.2	16.0	631904
02-27-2015	21.7	0	0.0	0	24.3	14.8	698009
02-28-2015	6.9	0	0.0	0	32.3	17.9	515919
03-01-2015	23.3	0	16.4	0	20.8	15.2	477727
03-02-2015	22.0	0	0.4	0	23.0	11.6	572045
03-03-2015	21.2	0	0.0	0	22.7	15.5	601851
03-04-2015	23.0	0	0.0	0	23.5	15.4	636763
03-05-2015	22.5	0	0.8	0	18.6	12.6	613915
03-06-2015	10.8	0	0.8	0	21.1	14.1	653812
03-07-2015	10.8	0	0.8	0	22.6	15.4	656325
03-08-2015	20.4	0	0.2	0	24.4	16.2	749645
03-09-2015	18.6	0	0.0	0	23.8	14.4	625386
03-10-2015	22.1	0	0.0	0	21.7	16.2	573615
03-11-2015	22.3	0	0.0	0	23.8	11.2	620929
03-12-2015	18.7	0	0.0	0	19.9	13.0	617938
03-13-2015	21.2	0	0.0	0	20.4	14.4	728920
03-14-2015	20.0	0	0.0	1	30.1	9.4	573160
03-15-2015	17.5	0	0.0	0	18.3	13.1	490759
03-16-2015	14.5	0	0.0	0	25.5	10.5	594026
03-17-2015	4.8	0	0.0	0	26.2	13.0	579477
03-18-2015	9.4	0	2.4	0	24.4	17.8	613218
03-19-2015	15.1	0	2.4	0	33.5	16.5	623515
03-20-2015	19.9	0	2.4	0	19.6	14.2	692880
03-21-2015	20.8	0	2.4	0	22.7	11.9	577248
03-22-2015	19.9	0	0.0	0	28.8	11.3	555312
03-23-2015	3.9	0	0.0	0	27.0	13.6	536966
03-24-2015	3.8	0	2.8	0	15.3	12.6	548713
03-25-2015	13.8	0	1.4	1	20.4	13.0	618004
03-26-2015	9.9	0	1.4	1	18.0	9.8	617469
03-27-2015	11.2	0	0.0	1	18.1	11.6	699092
03-28-2015	14.4	0	0.0	1	19.1	12.7	620811
03-29-2015	18.6	0	0.0	0	22.7	8.5	599990
03-30-2015	18.1	0	0.0	0	23.1	10.6	647490
03-31-2015	18.1	0	0.0	0	25.3	11.2	652023
04-01-2015	10.7	0	0.0	0	29.0	13.3	621352
04-02-2015	17.5	0	0.4	0	17.2	12.8	671795
04-03-2015	17.4	0	0.0	0	20.9	8.0	476397
04-04-2015	16.2	0	0.0	0	23.5	8.5	575694
04-05-2015	9.8	0	0.0	0	18.5	10.2	465305
04-06-2015	13.0	0	0.0	0	18.4	11.2	422131
04-07-2015	3.9	0	0.0	0	17.3	12.4	512383
04-08-2015	12.6	0	6.2	0	17.7	13.3	621442
04-09-2015	10.9	0	0.0	0	19.1	8.7	660311
04-10-2015	15.9	0	0.0	0	18.7	8.6	769697
04-11-2015	14.9	0	0.0	0	23.7	11.6	583589
04-12-2015	13.4	0	0.0	0	18.3	12.1	458808
04-13-2015	14.9	0	0.0	0	19.1	7.3	562914
04-14-2015	8.4	0	1.8	0	24.7	10.5	576960
04-15-2015	12.8	0	7.0	0	27.6	13.9	629175
04-16-2015	10.9	0	7.0	0	17.8	15.6	648782
04-17-2015	7.5	0	7.0	0	17.1	10.1	703342
04-18-2015	9.9	0	7.0	0	21.9	13.5	558398
04-19-2015	11.0	0	7.4	0	14.7	9.7	387304
04-20-2015	12.7	0	2.2	0	16.2	7.0	554574
04-21-2015	13.8	0	0.0	0	17.7	6.5	556354
04-22-2015	7.1	0	0.0	0	19.5	9.1	570779
04-23-2015	7.5	0	0.0	0	19.2	12.2	602834
04-24-2015	7.8	0	0.0	0	21.1	14.4	687369
04-25-2015	3.5	0	0.0	1	15.0	11.6	617257
04-26-2015	5.9	0	0.225	0	15.4	10.4	402903
04-27-2015	8.3	0	0.0	0	15.1	10.5	519381
04-28-2015	8.9	0	1.8	0	16.0	10.1	536691
04-29-2015	12.6	0	0.0	0	17.1	7.4	580872
04-30-2015	12.3	0	0.2	0	19.6	6.4	600746
05-01-2015	12.1	0	0.0	0	23.1	7.9	746219
05-02-2015	6.1	0	0.0	0	22.2	11.6	557177
05-03-2015	11.2	0	0.0	0	18.2	9.7	452820
05-04-2015	11.6	0	0.2	0	22.3	7.5	544844
05-05-2015	7.1	0	1.4	0	18.1	9.2	506962
05-06-2015	7.6	0	1.6	0	16.2	9.5	543673
05-07-2015	6.9	0	2.6	0	15.6	10.3	556631
05-08-2015	5.9	0	0.2	0	15.9	10.5	662573
05-09-2015	7.3	0	0.0	0	18.7	12.8	512580
05-10-2015	5.9	0	10.6	0	16.6	12.8	394815
05-11-2015	7.9	0	2.6	0	15.9	12.4	508168
05-12-2015	5.9	0	0.2	0	17.4	12.8	514329
05-13-2015	8.7	0	6.2	0	12.8	6.3	533158
05-14-2015	6.7	0	4.2	0	14.6	7.3	567567
05-15-2015	6.2	0	2.0	0	14.5	11.5	665396
05-16-2015	10.4	0	0.0	0	16.2	11.3	556646
05-17-2015	10.3	0	0.0	0	20.5	7.4	468310
05-18-2015	10.2	0	0.0	0	20.4	7.2	566187
05-19-2015	3.2	0	0.0	0	16.2	9.9	535738
05-20-2015	6.0	0	3.4	0	18.1	13.6	564353
05-21-2015	3.5	0	7.0	0	13.6	10.3	564108
05-22-2015	6.7	0	0.4	0	14.1	9.1	671844
05-23-2015	7.7	0	0.0	0	13.3	10.4	544407
05-24-2015	8.6	0	0.0	0	15.6	6.0	418867
05-25-2015	8.1	0	0.0	0	17.1	7.4	537110
05-26-2015	6.8	0	0.0	0	15.6	5.4	554730
05-27-2015	7.4	0	0.2	0	18.7	7.9	577867
05-28-2015	8.4	0	0.0	0	19.7	13.1	598827
05-29-2015	6.6	0	0.0	0	15.8	9.5	658994
05-30-2015	8.0	0	0.0	0	17.3	11.0	528365
05-31-2015	4.9	0	0.0	0	16.8	12.3	356804
06-01-2015	8.1	0	7.4	0	12.2	5.2	524373
06-02-2015	4.6	0	4.2	0	11.4	7.1	528939
06-03-2015	8.2	0	0.8	0	13.6	8.1	579905
06-04-2015	5.5	0	0.0	0	11.3	4.4	540945
06-05-2015	7.0	0	4.2	0	15.0	7.0	682471
06-06-2015	6.4	0	0.4	0	16.6	9.2	637017
06-07-2015	6.9	0	0.0	0	14.5	11.2	540196
06-08-2015	8.2	0	0.0	0	18.5	11.1	463457
06-09-2015	8.6	0	0.6000000000000001	0	13.5	10.3	541621
06-10-2015	7.1	0	0.0	0	13.4	7.5	565075
06-11-2015	8.3	0	0.0	0	14.0	5.7	596107
06-12-2015	6.9	0	0.2	0	13.1	5.2	661425
06-13-2015	8.0	0	0.0	1	18.2	6.0	517094
06-14-2015	8.0	0	0.0	0	17.4	5.8	423527
06-15-2015	6.6	0	0.0	0	16.9	7.1	551739
06-16-2015	3.3	0	4.8	0	16.1	9.5	563991
06-17-2015	4.7	0	0.0	0	13.8	11.7	635634
06-18-2015	4.2	0	1.2	0	12.7	10.7	612668
06-19-2015	7.9	0	0.0	0	12.4	7.0	693785
06-20-2015	7.1	0	0.0	0	11.6	4.1	553100
06-21-2015	8.6	0	0.0	0	12.9	2.2	449758
06-22-2015	6.2	0	0.2	0	14.1	3.6	530660
06-23-2015	5.8	0	0.0	0	17.6	9.6	571451
06-24-2015	7.7	0	0.0	0	16.0	12.2	600935
06-25-2015	6.3	0	0.0	0	14.0	9.6	610346
06-26-2015	7.1	0	0.0	0	16.9	10.5	684873
06-27-2015	5.0	0	0.0	0	14.1	8.0	556124
06-28-2015	4.1	0	0.0	0	14.5	9.6	457401
06-29-2015	5.6	0	0.0	0	12.3	6.9	581072
06-30-2015	7.9	0	0.0	0	14.2	5.0	610646
07-01-2015	6.9	0	0.0	0	15.0	7.4	626970
07-02-2015	7.0	0	0.8	0	11.9	10.3	603980
07-03-2015	5.0	0	4.2	0	12.0	5.9	715618
07-04-2015	2.8	0	1.6	0	10.6	7.3	474642
07-05-2015	8.2	0	0.0	0	14.9	8.2	478331
07-06-2015	4.4	0	2.6	0	11.5	7.5	516569
07-07-2015	7.0	0	0.0	0	14.2	7.4	590907
07-08-2015	8.5	0	0.0	0	14.8	4.9	629963
07-09-2015	3.5	0	0.0	0	13.4	6.5	608373
07-10-2015	5.8	0	0.0	0	14.3	7.6	697116
07-11-2015	3.7	0	0.6	0	13.1	10.9	474872
07-12-2015	2.9	0	4.2	0	12.3	3.4	280439
07-13-2015	4.2	0	29.6	0	12.7	6.1	480004
07-14-2015	4.8	0	4.4	0	9.8	8.1	487003
07-15-2015	7.4	0	4.4	0	10.5	5.8	553158
07-16-2015	8.1	0	0.2	0	12.3	6.6	576055
07-17-2015	6.5	0	2.6	0	12.3	7.3	644910
07-18-2015	9.5	0	0.8	0	11.5	6.1	620441
07-19-2015	9.7	0	0.0	0	12.1	0.6	477802
07-20-2015	9.7	0	0.0	0	14.7	1.8	572470
07-21-2015	8.6	0	0.0	0	17.0	4.2	590831
07-22-2015	6.0	0	1.8	0	16.6	11.4	588069
07-23-2015	9.5	0	2.6	0	16.1	5.1	645141
07-24-2015	4.4	0	2.6	0	15.0	7.6	780257
07-25-2015	7.7	0	2.6	0	13.3	9.4	604165
07-26-2015	8.5	0	3.6	0	11.6	8.1	510636
07-27-2015	9.6	0	1.0	0	13.9	6.2	542400
07-28-2015	10.2	0	0.0	0	14.4	7.9	577472
07-29-2015	9.0	0	0.0	0	14.0	8.4	582154
07-30-2015	4.5	0	0.0	0	12.3	8.6	548916
07-31-2015	10.8	0	0.0	0	14.0	4.1	725399
08-01-2015	4.2	0	0.8	0	11.4	6.5	531705
08-02-2015	8.3	0	0.2	0	14.9	7.8	429088
08-03-2015	9.4	0	6.8	0	10.8	7.3	526778
08-04-2015	7.1	0	0.0	0	11.3	3.5	555977
08-05-2015	8.0	0	1.0	0	10.8	6.6	571195
08-06-2015	7.0	0	2.2	0	12.8	7.1	574158
08-07-2015	9.0	0	1.2	0	13.1	9.0	687929
08-08-2015	6.6	0	0.0	0	12.6	8.8	540401
08-09-2015	6.9	0	0.0	0	13.3	7.7	479401
08-10-2015	10.7	0	0.6	0	16.0	8.3	536809
08-11-2015	11.7	0	0.0	0	14.8	7.8	553589
08-12-2015	9.2	0	0.0	0	14.8	9.3	558721
08-13-2015	7.0	0	0.0	0	13.0	8.4	576497
08-14-2015	7.3	0	0.0	0	15.3	10.4	627460
08-15-2015	10.9	0	0.0	0	14.9	10.0	579764
08-16-2015	9.5	0	0.0	0	17.0	4.7	450525
08-17-2015	9.9	0	2.6	0	12.2	6.8	481734
08-18-2015	9.8	0	1.0	0	11.1	6.1	497840
08-19-2015	10.2	0	0.0	0	12.7	5.5	555653
08-20-2015	12.7	0	0.0	0	17.1	6.1	581304
08-21-2015	4.1	0	0.0	0	18.7	10.9	640856
08-22-2015	11.8	0	0.0	0	18.8	11.8	555865
08-23-2015	13.1	0	0.0	0	16.3	7.9	428762
08-24-2015	9.6	0	0.0	0	14.5	8.5	513507
08-25-2015	8.1	0	0.0	0	14.3	9.5	526970
08-26-2015	7.8	0	0.0	0	14.6	9.2	551127
08-27-2015	2.7	0	1.4	0	11.7	9.8	545685
08-28-2015	12.2	0	17.6	0	13.2	8.1	720700
08-29-2015	9.1	0	3.2	0	11.7	6.3	500014
08-30-2015	14.3	0	2.4	0	12.5	7.9	457752
08-31-2015	11.5	0	0.0	0	13.0	8.1	529808
09-01-2015	15.7	0	0.0	0	16.2	5.1	577875
09-02-2015	10.5	0	0.0	0	18.8	8.0	557953
09-03-2015	8.0	0	5.2	0	14.0	10.6	573593
09-04-2015	13.0	0	0.0	0	13.7	8.7	650902
09-05-2015	14.8	0	0.0	0	14.0	10.2	545985
09-06-2015	11.8	0	0.0	0	16.6	5.8	398715
09-07-2015	9.2	0	3.4	0	13.6	8.9	509763
09-08-2015	11.1	0	2.0	0	12.8	8.8	541648
09-09-2015	11.4	0	0.0	0	15.3	10.0	572380
09-10-2015	17.3	0	0.0	0	15.7	10.0	633522
09-11-2015	17.7	0	0.0	0	20.1	5.1	699897
09-12-2015	10.2	0	0.0	0	21.7	12.2	559732
09-13-2015	17.1	0	0.0	0	25.5	13.2	538052
09-14-2015	17.8	0	0.0	0	26.7	15.4	578139
09-15-2015	15.0	0	16.6	0	15.9	10.8	549311
09-16-2015	17.6	0	0.0	0	14.8	8.9	592421
09-17-2015	12.4	0	1.6	0	14.3	9.0	571835
09-18-2015	8.1	0	1.6	0	14.7	10.5	690363
09-19-2015	17.0	0	0.0	0	21.3	6.5	578018
09-20-2015	17.3	0	0.0	0	22.9	8.5	494670
09-21-2015	6.7	0	0.0	0	18.1	14.0	543834
09-22-2015	17.4	0	4.4	0	12.7	7.6	581181
09-23-2015	20.3	0	0.0	0	12.6	8.5	608995
09-24-2015	18.2	0	0.0	0	14.3	5.1	654599
09-25-2015	20.2	0	0.0	0	19.1	5.8	745368
09-26-2015	20.1	0	0.0	0	17.9	6.6	610241
09-27-2015	19.6	0	0.0	0	20.2	9.8	528627
09-28-2015	13.6	0	0.0	0	21.4	8.3	633387
09-29-2015	13.5	0	0.0	0	16.9	9.0	653089
09-30-2015	16.8	0	0.0	1	15.9	11.5	651814
10-01-2015	21.7	0	0.0	0	21.6	6.0	777692
10-02-2015	21.7	0	0.0	0	28.6	9.9	652706
10-03-2015	22.2	0	0.0	0	31.3	16.3	542282
10-04-2015	22.2	0	0.0	0	24.9	13.9	451117
10-05-2015	22.0	0	0.0	0	34.4	12.7	561247
10-06-2015	18.9	0	0.0	0	35.8	15.5	534950
10-07-2015	23.6	0	0.0	0	16.2	11.8	587563
10-08-2015	23.3	0	0.0	0	18.6	7.6	629696
10-09-2015	22.0	0	0.0	0	29.9	10.9	701303
10-10-2015	11.9	0	0.0	0	29.2	17.5	530790
10-11-2015	19.6	0	0.8	0	19.2	16.9	440025
10-12-2015	13.4	0	0.8	0	16.1	11.3	515737
10-13-2015	24.3	0	0.2	0	17.6	7.9	578092
10-14-2015	24.4	0	0.0	0	28.6	11.2	607247
10-15-2015	22.2	0	0.0	0	34.0	14.4	609690
10-16-2015	8.4	0	0.2	0	23.8	17.0	663558
10-17-2015	20.4	0	0.0	0	20.5	11.5	575503
10-18-2015	24.2	0	0.0	0	17.7	12.6	503192
10-19-2015	25.8	0	0.0	0	26.7	8.3	578945
10-20-2015	14.4	0	0.0	0	31.8	12.9	568350
10-21-2015	7.3	0	8.8	0	18.3	17.6	538916
10-22-2015	8.5	0	8.8	0	16.7	11.4	572714
10-23-2015	21.0	0	0.0	0	16.4	11.8	682460
10-24-2015	25.1	0	0.0	0	19.5	9.2	543271
10-25-2015	20.1	0	0.0	0	31.3	10.2	467092
10-26-2015	14.5	0	0.6	0	15.9	14.0	508264
10-27-2015	28.1	0	0.4	0	23.3	10.4	583522
10-28-2015	27.6	0	0.0	0	26.8	10.1	583618
10-29-2015	26.8	0	0.0	0	26.1	13.7	610892
10-30-2015	22.6	0	0.0	0	27.4	12.6	698115
10-31-2015	13.5	0	0.0	0	25.9	15.7	480908
11-01-2015	10.0	0	4.8	1	26.0	16.4	446762
11-02-2015	8.2	0	0.0	0	16.0	14.5	597289
11-03-2015	25.4	0	0.6	0	17.9	8.0	395150
11-04-2015	19.6	0	0.0	0	27.2	10.9	573447
11-05-2015	16.4	0	11.4	0	24.7	16.2	533293
11-06-2015	3.7	0	18.6	0	18.7	16.6	611397
11-07-2015	25.2	0	2.4	0	16.8	11.9	545573
11-08-2015	25.1	0	0.0	0	24.8	8.5	465766
11-09-2015	26.4	0	0.0	0	33.1	13.6	550326
11-10-2015	5.3	0	0.0	0	16.4	15.2	592849
11-11-2015	16.0	0	2.8	0	20.1	11.5	640890
11-12-2015	19.2	0	0.0	0	21.2	13.7	688901
11-13-2015	26.1	0	0.4	0	18.2	13.5	767005
11-14-2015	27.5	0	0.2	0	18.3	12.1	597169
11-15-2015	27.6	0	0.2	0	18.5	13.0	540609
11-16-2015	29.4	0	0.0	0	26.3	11.4	652123
11-17-2015	24.0	0	0.0	0	33.3	15.7	649510
11-18-2015	29.2	0	0.0	0	29.5	14.7	686578
11-19-2015	20.6	0	0.0	0	31.5	15.6	696855
11-20-2015	6.4	0	1.0	0	19.1	15.4	692160
11-21-2015	20.9	0	3.4	0	17.5	12.2	566248
11-22-2015	27.3	0	0.0	0	20.0	13.5	499809
11-23-2015	27.3	0	0.0	0	20.7	13.8	641411
11-24-2015	30.0	0	0.0	0	24.5	13.6	653772
11-25-2015	9.3	0	0.0	0	33.3	13.5	652086
11-26-2015	23.3	0	0.0	0	17.4	10.8	628438
11-27-2015	16.8	0	0.6	0	18.2	9.0	775820
11-28-2015	27.1	0	0.0	0	20.1	12.0	651564
11-29-2015	23.4	0	0.0	0	20.3	12.6	527324
11-30-2015	26.6	0	0.0	0	32.2	10.0	615659
12-01-2015	24.4	0	1.8	0	24.6	14.5	625150
12-02-2015	32.4	0	0.0	0	17.5	9.2	649315
12-03-2015	30.1	0	0.0	0	21.3	12.2	668547
12-04-2015	32.2	0	0.0	0	30.8	11.3	776975
12-05-2015	27.9	0	0.0	0	25.3	15.5	665767
12-06-2015	13.5	0	0.0	0	29.8	15.3	619551
12-07-2015	8.7	0	0.0	0	27.3	18.1	639904
12-08-2015	19.8	0	1.0	0	35.4	20.3	659590
12-09-2015	27.0	0	0.0	0	24.6	15.4	706915
12-10-2015	32.0	0	0.0	0	26.0	13.1	739517
12-11-2015	13.0	0	0.0	0	19.2	14.2	744363
12-12-2015	27.9	0	2.4	0	18.3	10.1	643844
12-13-2015	28.6	0	0.0	0	28.3	10.3	554435
12-14-2015	31.6	0	0.0	0	22.7	11.9	673310
12-15-2015	30.3	0	0.0	0	24.6	14.4	690976
12-16-2015	32.5	0	0.0	0	27.5	15.6	734011
12-17-2015	33.1	0	0.0	0	37.2	16.9	687276
12-18-2015	31.2	0	0.0	0	35.4	19.4	729509
12-19-2015	20.5	0	0.0	0	41.2	19.2	483554
12-20-2015	10.4	0	0.0	0	37.8	25.9	432209
12-21-2015	25.4	0	0.0	0	20.2	15.0	702929
12-22-2015	32.9	0	0.0	0	22.8	12.0	744859
12-23-2015	32.4	0	0.0	0	26.0	15.1	755818
12-24-2015	32.8	0	0.0	0	34.6	16.7	601562
12-25-2015	33.3	0	0.0	1	34.1	21.7	354165
12-26-2015	19.2	0	28.6	1	20.0	12.7	598849
12-27-2015	27.6	0	4.0	1	19.4	11.9	577904
12-28-2015	33.2	0	0.0	0	20.8	12.8	578703
12-29-2015	33.0	0	0.0	0	23.9	12.4	564212
12-30-2015	32.8	0	0.0	0	34.7	13.9	490025
12-31-2015	29.6	0	0.0	0	39.7	19.7	540633
01-01-2016	22.0	0	0.0	1	24.2	19.8	518947
01-02-2016	25.1	0	0.0	0	27.6	17.1	509571
01-03-2016	25.7	0	0.0	0	27.1	17.5	451123
01-04-2016	15.3	0	0.0	0	26.0	16.3	547916
01-05-2016	25.8	0	0.0	0	25.7	17.1	592005
01-06-2016	18.1	0	0.0	0	25.7	17.3	621087
01-07-2016	30.4	0	0.0	0	21.3	16.3	631680
01-08-2016	25.4	0	0.0	0	20.6	16.2	655083
01-09-2016	21.3	0	0.0	0	21.4	16.8	559456
01-10-2016	31.3	0	0.0	0	31.5	15.7	443611
01-11-2016	15.8	0	0.0	0	36.4	17.2	545443
01-12-2016	29.1	0	1.0	0	24.8	17.1	634227
01-13-2016	25.0	0	0.0	0	42.2	16.8	526676
01-14-2016	3.9	0	0.0	0	18.1	16.1	612574
01-15-2016	19.7	0	1.0	0	19.2	13.6	724970
01-16-2016	32.6	0	0.0	0	22.3	11.9	589346
01-17-2016	31.5	0	0.0	0	32.7	14.9	550697
01-18-2016	30.4	0	0.0	0	35.3	18.6	629602
01-19-2016	27.2	0	0.0	0	30.9	17.9	653133
01-20-2016	18.6	0	1.4	0	29.1	19.3	698114
01-21-2016	14.9	0	0.4	0	26.7	19.0	720653
01-22-2016	6.5	0	1.0	0	22.8	17.5	702372
01-23-2016	23.2	0	12.0	0	21.9	17.3	613211
01-24-2016	23.4	0	5.6	0	22.2	16.2	560510
01-25-2016	25.7	0	0.4	0	20.9	16.7	675173
01-26-2016	28.7	0	0.0	1	29.4	16.5	705826
01-27-2016	22.2	0	0.0	0	29.5	19.3	627095
01-28-2016	19.0	0	5.6	0	27.5	20.3	632468
01-29-2016	14.3	0	13.0	0	18.3	14.4	680938
01-30-2016	24.0	0	1.2	0	22.4	12.3	594194
01-31-2016	26.3	0	10.8	0	21.8	13.9	494393
02-01-2016	29.4	0	0.0	0	23.6	12.5	625500
02-02-2016	25.5	0	0.0	0	31.5	15.4	605189
02-03-2016	11.0	0	1.2	0	21.0	18.1	601768
02-04-2016	21.7	0	2.8	0	20.9	17.3	662164
02-05-2016	29.0	0	0.0	0	29.4	15.3	735889
02-06-2016	28.8	0	0.0	0	32.6	16.5	648512
02-07-2016	28.5	0	0.0	0	27.7	19.1	543115
02-08-2016	23.3	0	0.0	0	22.9	19.2	665405
02-09-2016	27.7	0	0.0	0	22.7	17.4	664340
02-10-2016	25.3	0	0.0	0	23.3	17.4	686251
02-11-2016	27.6	0	0.0	0	23.8	18.0	698865
02-12-2016	27.9	0	0.0	0	24.9	16.7	790800
02-13-2016	23.4	0	0.0	0	30.3	17.7	669691
02-14-2016	22.9	0	0.0	0	24.5	16.4	682517
02-15-2016	25.4	0	0.0	0	26.1	14.0	659351
02-16-2016	14.5	0	2.6	0	18.4	13.7	640697
02-17-2016	16.2	0	2.2	0	21.1	12.7	682152
02-18-2016	20.6	0	2.2	0	22.6	15.5	707372
02-19-2016	11.2	0	2.2	0	22.0	15.8	736845
02-20-2016	23.8	0	0.0	0	20.8	15.8	885831
02-21-2016	26.5	0	0.0	0	24.7	12.6	721722
02-22-2016	8.4	0	0.0	0	29.5	15.6	633825
02-23-2016	19.4	0	0.0	0	39.4	18.1	625435
02-24-2016	15.8	0	0.0	0	25.6	22.4	670560
02-25-2016	13.8	0	0.4	0	26.4	19.6	691181
02-26-2016	19.3	0	0.0	0	23.5	15.5	770028
02-27-2016	17.7	0	0.0	0	22.2	17.7	641641
02-28-2016	21.5	0	0.0	0	22.7	17.7	591838
02-29-2016	18.2	0	0.0	0	23.7	15.0	676451
03-01-2016	23.4	0	0.0	0	33.7	17.3	679965
03-02-2016	22.6	0	0.0	0	34.7	17.6	693302
03-03-2016	21.8	0	0.0	0	23.9	17.4	708544
03-04-2016	21.2	0	0.0	0	33.0	16.5	764925
03-05-2016	11.4	0	1.6	0	23.7	20.4	610640
03-06-2016	21.3	0	0.0	0	25.2	17.4	518443
03-07-2016	7.9	0	2.8	0	24.9	18.6	672423
03-08-2016	20.8	0	0.2	0	38.9	19.9	651878
03-09-2016	10.8	0	9.6	0	28.5	20.8	659926
03-10-2016	3.9	0	9.6	0	22.1	18.1	669617
03-11-2016	19.6	0	9.6	0	26.1	18.8	827051
03-12-2016	7.0	0	0.0	0	22.3	18.7	730844
03-13-2016	13.8	0	0.0	0	23.2	17.7	746962
03-14-2016	10.6	0	0.0	1	21.3	18.4	650464
03-15-2016	20.7	0	0.0	0	26.8	15.1	671662
03-16-2016	18.9	0	0.0	0	31.4	15.3	703152
03-17-2016	19.6	0	0.0	0	32.5	18.3	724483
03-18-2016	6.7	0	16.2	0	19.5	15.2	730517
03-19-2016	10.7	0	6.0	0	18.8	12.0	625400
03-20-2016	19.0	0	0.0	0	23.3	10.1	646783
03-21-2016	19.7	0	0.0	0	23.5	11.2	712722
03-22-2016	21.1	0	0.0	0	24.3	11.4	695215
03-23-2016	12.7	0	0.0	0	28.8	13.7	698421
03-24-2016	10.4	0	0.0	0	21.2	16.3	743790
03-25-2016	14.4	0	0.0	1	20.4	15.9	579290
03-26-2016	8.2	0	0.4	1	20.2	14.1	624207
03-27-2016	14.0	0	1.4	1	19.9	14.3	558092
03-28-2016	13.0	0	0.0	1	19.2	9.4	481791
03-29-2016	5.7	0	0.0	0	17.9	14.5	641119
03-30-2016	8.5	0	0.0	0	18.7	15.5	683511
03-31-2016	17.1	0	0.0	0	22.7	11.3	724658
04-01-2016	16.7	0	0.0	0	26.5	13.1	826348
04-02-2016	8.3	0	0.0	0	19.5	15.5	643351
04-03-2016	15.4	0	0.0	0	18.8	11.3	555798
