,Public Holiday?,Year,Month,Day of the Year,DayOfWeekNumeric,Min,Max,Daily global solar exposure (MJ/m*m),Rainfall amount (millimetres),BourkeStMallSouth
2401,0,2021,7,210,5,9.6,15.6,12.0419445,1.208,12586.878
2402,0,2021,7,211,6,8.6,16.3,12.04881668,0.544,12913.94838
2403,0,2021,7,212,7,8,14.2,12.05461788,1.76,14463.38532
2404,0,2021,8,213,1,5.7,16.4,12.06091595,1.872,13820.56398
2405,0,2021,8,214,2,5.7,16.4,12.06690979,0.376,13095.24719
2406,0,2021,8,215,3,9,18.2,12.07227421,0.1812883,10121.26606
2407,0,2021,8,216,4,7.5,16,12.07810593,1.1732883,11619.63726
2408,0,2021,8,217,5,5.1,10.5,12.08407784,2.68,11101.25816
2409,0,2021,8,218,6,4.7,11.3,12.08990002,2.144,11356.71569
2410,0,2021,8,219,7,5.5,12.8,12.09551907,1.888,12474.5173
2411,0,2021,8,220,1,3.3,12.7,12.10107231,1.4,14371.26102
2412,0,2021,8,221,2,4.7,14.9,12.10643005,0.408,11755.65843
2413,0,2021,8,222,3,8.9,15.8,12.11149979,0.1812883,10721.50002
2414,0,2021,8,223,4,5.7,14.8,12.11601448,1.1732883,10558.81194
2415,0,2021,8,224,5,4.3,15.8,12.1204052,2.688,11162.61161
2416,0,2021,8,225,6,9.4,15.9,12.12477016,2.968,12042.76316
2417,0,2021,8,226,7,11.4,18.1,12.12853241,1.88,12392.58933
2418,0,2021,8,227,1,10.7,18.1,12.13189125,1.4,15138.85631
2419,0,2021,8,228,2,7.4,14.9,12.13496685,0.416,11362.56593
2420,0,2021,8,229,3,10.7,15,12.13786411,0.234576599,11430.09859
2421,0,2021,8,230,4,9.5,16.3,12.14069843,1.144,12497.45859
2422,0,2021,8,231,5,10,17.2,12.14340305,2.856,14365.59811
2423,0,2021,8,232,6,9.7,12.7,12.14604282,2.872,13858.74494
2424,0,2021,8,233,7,9.6,15.7,12.14858055,1.88,15909.74224
2425,0,2021,8,234,1,8.5,14.1,12.15097046,2.24,15986.30521
2426,0,2021,8,235,2,5.8,11.1,12.15322876,0.32,17082.56183
2427,0,2021,8,236,3,6.8,11.5,12.15545559,0.816,14336.81846
2428,0,2021,8,237,4,6.3,12.4,12.1576376,1.52,16482.36898
2429,0,2021,8,238,5,3.6,13,12.15967178,2.816,15465.70646
2430,0,2021,8,239,6,6.1,14.5,12.16157436,3.488,15440.69629
2431,0,2021,8,240,7,8.8,20.7,12.16338158,1.768,17419.1907
2432,0,2021,8,241,1,8.5,17.6,12.16510105,2.032,19966.30934
2433,0,2021,8,242,2,9.2,19.3,12.16672134,0.32,19340.32319
2434,0,2021,8,243,3,12,19.8,12.16824913,0.336,16509.71577
