pressure_zone,category,pipe_size,material,lined,pipe_age,shape__length,criticality,condition_score,ASSET_ID,MAIN_NAME,PIPE_AGE,MATERIAL,PIPE_LENGTH
YAN YEAN-EPPING MAIN,T,1700.0,MS,0,66.0,2.39,6,5.2,M190,YAN YEAN-EPPING MAIN,66.0,MS,2.39
YAN YEAN-EPPING MAIN,S,375.0,MS,0,11.0,0.5,6,7.95,M190,YAN YEAN-EPPING MAIN,11.0,MS,0.5
YAN YEAN-EPPING MAIN,S,225.0,MS,0,11.0,0.5,6,7.95,M190,YAN YEAN-EPPING MAIN,11.0,MS,0.5
YAN YEAN-EPPING MAIN,T,1350.0,MS,0,11.0,0.85,6,7.95,M190,YAN YEAN-EPPING MAIN,11.0,MS,0.85
YAN YEAN-EPPING MAIN,S,225.0,MS,0,11.0,4.72,6,7.95,M190,YAN YEAN-EPPING MAIN,11.0,MS,4.72
CLEARWATER RESERVOIR,S,2100.0,MS,0,46.0,194.27,6,6.2,R133,CLEARWATER RESERVOIR,46.0,MS,194.27
SUGARLOAF DAM,S,300.0,RC,0,45.0,633.54,6,6.25,H001,SUGARLOAF DAM,45.0,RC,633.54
KENNY ST-BROADMEADOWS MAIN,S,825.0,MSCL,0,64.0,1.56,6,5.3,M193,KENNY ST-BROADMEADOWS MAIN,64.0,MSCL,1.56
KENNY ST-BROADMEADOWS MAIN,S,300.0,MSCL,0,64.0,1.44,6,5.3,M193,KENNY ST-BROADMEADOWS MAIN,64.0,MSCL,1.44
KENNY ST-BROADMEADOWS MAIN,S,825.0,MSCL,0,64.0,6.58,6,5.3,M193,KENNY ST-BROADMEADOWS MAIN,64.0,MSCL,6.58
KENNY ST-BROADMEADOWS MAIN,S,300.0,MSCL,0,64.0,1.32,6,5.3,M193,KENNY ST-BROADMEADOWS MAIN,64.0,MSCL,1.32
KENNY ST-BROADMEADOWS MAIN,T,1150.0,MSEL,0,61.0,1079.58,6,5.45,M193,KENNY ST-BROADMEADOWS MAIN,61.0,MSEL,1079.58
KENNY ST-BROADMEADOWS MAIN,S,225.0,MSCL,0,64.0,1.06,6,5.3,M193,KENNY ST-BROADMEADOWS MAIN,64.0,MSCL,1.06
KENNY ST-BROADMEADOWS MAIN,S,375.0,MSCL,0,64.0,20.56,6,5.3,M193,KENNY ST-BROADMEADOWS MAIN,64.0,MSCL,20.56
GREENVALE DAM,S,450.0,MS,0,46.0,15.71,6,6.2,H070,GREENVALE DAM,46.0,MS,15.71
ESSENDON NORTH RESERVOIR,S,1150.0,MS,0,46.0,6.63,6,6.2,R006,ESSENDON NORTH RESERVOIR,46.0,MS,6.63
BEACONSFIELD - LANGWARRIN MAIN,S,25.0,MSCL,0,69.0,10.0,6,5.05,M418,BEACONSFIELD - LANGWARRIN MAIN,69.0,MSCL,10.0
BEACONSFIELD - LANGWARRIN MAIN,S,225.0,MSCL,0,38.0,4.68,6,6.6,M418,BEACONSFIELD - LANGWARRIN MAIN,38.0,MSCL,4.68
BEACONSFIELD - LANGWARRIN MAIN,T,1050.0,MS,0,69.0,186.11,6,5.05,M418,BEACONSFIELD - LANGWARRIN MAIN,69.0,MS,186.11
BEACONSFIELD - LANGWARRIN MAIN,T,1050.0,MS,0,69.0,950.68,6,5.05,M418,BEACONSFIELD - LANGWARRIN MAIN,69.0,MS,950.68
BEACONSFIELD - LANGWARRIN MAIN,S,600.0,MSCL,0,38.0,4.68,6,6.6,M418,BEACONSFIELD - LANGWARRIN MAIN,38.0,MSCL,4.68
BEACONSFIELD - LANGWARRIN MAIN,S,150.0,MSCL,0,69.0,10.0,6,5.05,M418,BEACONSFIELD - LANGWARRIN MAIN,69.0,MSCL,10.0
BEACONSFIELD - LANGWARRIN MAIN,S,25.0,MSCL,0,35.0,10.0,6,6.75,M418,BEACONSFIELD - LANGWARRIN MAIN,35.0,MSCL,10.0
BEACONSFIELD - LANGWARRIN MAIN,S,25.0,MSCL,0,69.0,10.0,6,5.05,M418,BEACONSFIELD - LANGWARRIN MAIN,69.0,MSCL,10.0
BEACONSFIELD - LANGWARRIN MAIN,S,450.0,MSCL,0,69.0,5.34,6,5.05,M418,BEACONSFIELD - LANGWARRIN MAIN,69.0,MSCL,5.34
BEACONSFIELD - LANGWARRIN MAIN,T,1050.0,MS,0,69.0,214.834,6,5.05,M418,BEACONSFIELD - LANGWARRIN MAIN,69.0,MS,214.834
BEACONSFIELD - LANGWARRIN MAIN,S,150.0,MSCL,0,69.0,11.0,6,5.05,M418,BEACONSFIELD - LANGWARRIN MAIN,69.0,MSCL,11.0
BEACONSFIELD - LANGWARRIN MAIN,T,1050.0,MS,0,67.0,405.55,6,5.15,M418,BEACONSFIELD - LANGWARRIN MAIN,67.0,MS,405.55
BEACONSFIELD - LANGWARRIN MAIN,S,300.0,MSCL,0,69.0,5.34,6,5.05,M418,BEACONSFIELD - LANGWARRIN MAIN,69.0,MSCL,5.34
BEACONSFIELD - LANGWARRIN MAIN,T,1050.0,MS,0,69.0,7.83,6,5.05,M418,BEACONSFIELD - LANGWARRIN MAIN,69.0,MS,7.83
BEACONSFIELD - LANGWARRIN MAIN,S,150.0,MSCL,0,69.0,11.0,6,5.05,M418,BEACONSFIELD - LANGWARRIN MAIN,69.0,MSCL,11.0
BEACONSFIELD - LANGWARRIN MAIN,T,1050.0,MS,0,69.0,273.39,6,5.05,M418,BEACONSFIELD - LANGWARRIN MAIN,69.0,MS,273.39
WERRIBEE RES INLET MAIN,T,1200.0,MSCL,0,14.0,0.86,6,7.8,M351,WERRIBEE RES INLET MAIN,14.0,MSCL,0.86
WERRIBEE RES INLET MAIN,T,1200.0,MSCL,0,14.0,1.09,6,7.8,M351,WERRIBEE RES INLET MAIN,14.0,MSCL,1.09
WERRIBEE RES INLET MAIN,T,225.0,MSCL,0,14.0,1.07,6,7.8,M351,WERRIBEE RES INLET MAIN,14.0,MSCL,1.07
WERRIBEE RES INLET MAIN,T,1150.0,MS,0,41.0,87.0,6,6.45,M351,WERRIBEE RES INLET MAIN,41.0,MS,87.0
WERRIBEE RES INLET MAIN,T,1150.0,MS,0,41.0,2.76,6,6.45,M351,WERRIBEE RES INLET MAIN,41.0,MS,2.76
WERRIBEE RES INLET MAIN,T,1150.0,MS,0,40.0,92.79,6,6.5,M351,WERRIBEE RES INLET MAIN,40.0,MS,92.79
WERRIBEE RES INLET MAIN,T,1150.0,MSCL,0,10.0,0.99,6,8.0,M351,WERRIBEE RES INLET MAIN,10.0,MSCL,0.99
WERRIBEE RES INLET MAIN,T,1150.0,MSCL,0,8.0,72.79,6,8.1,M351,WERRIBEE RES INLET MAIN,8.0,MSCL,72.79
COWIES HILL RESERVOIR,S,825.0,MS,0,46.0,3.24,6,6.2,R043,COWIES HILL RESERVOIR,46.0,MS,3.24
WERRIBEE RES INLET MAIN,T,1150.0,MS,0,40.0,92.49,6,6.5,M351,WERRIBEE RES INLET MAIN,40.0,MS,92.49
WERRIBEE RES INLET MAIN,T,1150.0,MSCL,0,40.0,1654.83,6,6.5,M351,WERRIBEE RES INLET MAIN,40.0,MSCL,1654.83
WERRIBEE RES INLET MAIN,T,1150.0,MS,0,40.0,59.82,6,6.5,M351,WERRIBEE RES INLET MAIN,40.0,MS,59.82
WERRIBEE RES INLET MAIN,T,1150.0,MS,0,14.0,328.96,6,7.8,M351,WERRIBEE RES INLET MAIN,14.0,MS,328.96
WERRIBEE RES INLET MAIN,T,1150.0,MS,0,40.0,4.25,6,6.5,M351,WERRIBEE RES INLET MAIN,40.0,MS,4.25
WERRIBEE RES INLET MAIN,T,1150.0,MS,0,40.0,28.14,6,6.5,M351,WERRIBEE RES INLET MAIN,40.0,MS,28.14
GREENVALE DAM,S,450.0,MS,0,46.0,3.27,6,6.2,H070,GREENVALE DAM,46.0,MS,3.27
WTP WATER SUPPLY,UNKNOWN,50.0,GWI,0,50.0,286.6,6,6.0,WTPW,WTP WATER SUPPLY,,GWI,286.6
WTP WATER SUPPLY,UNKNOWN,50.0,GWI,0,50.0,2438.1,6,6.0,WTPW,WTP WATER SUPPLY,,GWI,2438.1
BEACONSFIELD - LANGWARRIN MAIN,T,1050.0,MS,0,69.0,18.08,6,5.05,M418,BEACONSFIELD - LANGWARRIN MAIN,69.0,MS,18.08
BEACONSFIELD - LANGWARRIN MAIN,S,225.0,MSCL,0,69.0,10.0,6,5.05,M418,BEACONSFIELD - LANGWARRIN MAIN,69.0,MSCL,10.0
BEACONSFIELD - LANGWARRIN MAIN,T,1050.0,MS,0,67.0,125.15,6,5.15,M418,BEACONSFIELD - LANGWARRIN MAIN,67.0,MS,125.15
BEACONSFIELD - LANGWARRIN MAIN,T,1050.0,MS,0,69.0,338.83,6,5.05,M418,BEACONSFIELD - LANGWARRIN MAIN,69.0,MS,338.83
BEACONSFIELD - LANGWARRIN MAIN,T,1050.0,MS,0,67.0,383.3,6,5.15,M418,BEACONSFIELD - LANGWARRIN MAIN,67.0,MS,383.3
BEACONSFIELD - LANGWARRIN MAIN,T,1050.0,MS,0,69.0,198.89,6,5.05,M418,BEACONSFIELD - LANGWARRIN MAIN,69.0,MS,198.89
BEACONSFIELD - LANGWARRIN MAIN,S,150.0,MSCL,0,69.0,2.4,6,5.05,M418,BEACONSFIELD - LANGWARRIN MAIN,69.0,MSCL,2.4
BEACONSFIELD - LANGWARRIN MAIN,T,1050.0,MS,0,67.0,6.0,6,5.15,M418,BEACONSFIELD - LANGWARRIN MAIN,67.0,MS,6.0
BEACONSFIELD - LANGWARRIN MAIN,T,1050.0,MS,0,69.0,51.25,6,5.05,M418,BEACONSFIELD - LANGWARRIN MAIN,69.0,MS,51.25
BEACONSFIELD - LANGWARRIN MAIN,S,100.0,MSCL,0,69.0,5.03,6,5.05,M418,BEACONSFIELD - LANGWARRIN MAIN,69.0,MSCL,5.03
