road_name,location,suburb,speed_limit,direction,vehicle_class_1,vehicle_class_2,vehicle_class_3,vehicle_class_4,vehicle_class_5,vehicle_class_6,vehicle_class_7,vehicle_class_8,vehicle_class_9,vehicle_class_10,vehicle_class_11,vehicle_class_12,vehicle_class_13,motorcycle,bike,average_speed,85th_percentile_speed,maximum_speed,road_segment,datetime,total_vehicle_count
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,38.0,47.0,22323,2016-10-13 01:00:00,0.0
Rankins Road,North of Macaulay Road,Kensington,50,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,38.0,47.0,23071,2014-09-12 13:00:00,0.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,28.0,32.0,42.0,22323,2016-10-13 06:00:00,7.0
Rankins Road,North of Macaulay Road,Kensington,50,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,38.0,47.0,23071,2014-09-12 16:00:00,0.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,27.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,26.0,33.0,41.0,22323,2016-10-13 09:00:00,29.0
Rankins Road,North of Macaulay Road,Kensington,50,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,38.0,47.0,23071,2014-09-12 17:00:00,0.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,47.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,27.0,35.0,45.0,22323,2016-10-13 11:00:00,51.0
Rankins Road,North of Macaulay Road,Kensington,50,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,38.0,47.0,23071,2014-09-12 23:00:00,0.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,26.0,33.0,42.0,22323,2016-10-13 13:00:00,30.0
Rankins Road,North of Macaulay Road,Kensington,50,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,25.0,47.0,23071,2014-10-12 07:00:00,1.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,27.0,33.0,40.0,22323,2016-10-13 15:00:00,26.0
Rankins Road,North of Macaulay Road,Kensington,50,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,38.0,47.0,23071,2014-10-12 09:00:00,0.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,53.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,26.0,33.0,47.0,22323,2016-10-13 18:00:00,55.0
Rankins Road,North of Macaulay Road,Kensington,50,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.9,21.0,47.0,23071,2014-10-12 11:00:00,1.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,56.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,26.0,32.0,40.0,22323,2016-10-13 19:00:00,57.0
Rankins Road,North of Macaulay Road,Kensington,50,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,38.0,47.0,23071,2014-10-12 12:00:00,0.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,24.0,26.0,35.0,22323,2016-10-13 22:00:00,8.0
Rankins Road,North of Macaulay Road,Kensington,50,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,38.0,47.0,23071,2014-10-12 13:00:00,0.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,29.0,34.0,41.0,22323,2016-10-14 06:00:00,7.0
Rankins Road,North of Macaulay Road,Kensington,50,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,38.0,47.0,23071,2014-10-12 16:00:00,0.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,28.0,37.0,39.0,22323,2016-10-14 07:00:00,17.0
Rankins Road,North of Macaulay Road,Kensington,50,S,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.5,32.7,47.0,23071,2014-04-12 03:00:00,3.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,30.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,30.0,36.0,42.0,22323,2016-10-14 09:00:00,34.0
Rankins Road,North of Macaulay Road,Kensington,50,S,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.5,31.5,47.0,23071,2014-04-12 05:00:00,10.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,26.0,34.0,45.0,22323,2016-10-14 10:00:00,51.0
Rankins Road,North of Macaulay Road,Kensington,50,S,86.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.3,37.0,47.0,23071,2014-04-12 07:00:00,88.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,29.0,36.0,47.0,22323,2016-10-14 14:00:00,34.0
Rankins Road,North of Macaulay Road,Kensington,50,S,124.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,37.0,47.0,23071,2014-04-12 08:00:00,127.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,46.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,26.0,33.0,43.0,22323,2016-10-14 17:00:00,47.0
Rankins Road,North of Macaulay Road,Kensington,50,S,54.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.2,35.3,47.0,23071,2014-04-12 11:00:00,58.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,37.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,27.0,35.0,43.0,22323,2016-10-14 18:00:00,38.0
Rankins Road,North of Macaulay Road,Kensington,50,S,57.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.6,35.0,47.0,23071,2014-04-12 13:00:00,61.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,25.0,35.0,40.0,22323,2016-10-14 19:00:00,27.0
Rankins Road,North of Macaulay Road,Kensington,50,S,50.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.4,36.0,47.0,23071,2014-04-12 16:00:00,55.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,26.0,32.0,38.0,22323,2016-10-14 21:00:00,16.0
Rankins Road,North of Macaulay Road,Kensington,50,S,56.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,35.0,47.0,23071,2014-04-12 17:00:00,58.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,28.0,34.0,59.0,22323,2016-10-14 22:00:00,9.0
Rankins Road,North of Macaulay Road,Kensington,50,S,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.7,35.2,47.0,23071,2014-04-12 20:00:00,39.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,29.0,39.0,42.0,22323,2016-10-14 23:00:00,10.0
Rankins Road,North of Macaulay Road,Kensington,50,S,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.1,36.0,47.0,23071,2014-05-12 01:00:00,2.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,30.0,33.0,22323,2016-10-15 03:00:00,3.0
Rankins Road,North of Macaulay Road,Kensington,50,S,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,36.4,47.0,23071,2014-05-12 02:00:00,3.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,34.0,22323,2016-10-15 05:00:00,1.0
Rankins Road,North of Macaulay Road,Kensington,50,S,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.1,32.6,47.0,23071,2014-05-12 05:00:00,12.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,34.0,40.0,22323,2016-10-15 08:00:00,17.0
Rankins Road,North of Macaulay Road,Kensington,50,S,44.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.4,38.0,47.0,23071,2014-05-12 06:00:00,46.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,41.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,26.0,33.0,42.0,22323,2016-10-15 15:00:00,45.0
